nID,Name,catID,RAJ2000,DEJ2000,CHB,12+logOHPG16S,12+logOHPG16R,12+logOHN2,12+logOHO3N2,12+logOHIZI,IZIchi2,12+logOHKK04,12+logOHT04,logNOPG16,r/r25,r/app,Ref
8427,NGC5584,NGC5584_3-94,215.584433,-0.388508,0.1566,8.27105,,8.565495,8.643839,8.54029,1.79512,,8.903088,,0.703255497785559,0.369111341459627,MUSE
8428,NGC5584,NGC5584_3-99,215.5827668,-0.4001718,0.162438,8.184125,,8.349156,8.489556,8.31373,0.337196,,8.728178,,1.03731457836196,0.544445904426562,MUSE
8429,NGC5584,NGC5584_3_full,215.5874408,-0.3942152,0.183314,8.31637,,8.479629,8.5305,8.44319,0.766745,,8.774982,,0.675217735975058,0.35439541544698,SDSS
8430,NGC5584,NGC5584_full,215.599531,-0.3871797,0.269373,8.414074,,8.577925,8.636331,8.49174,0.0787402,,8.894532,,0.0317843696667439,0.0166823741329895,SDSS
8431,NGC5636,3644107,217.41257,3.2663,0.499278,8.573515,,8.732612,8.827847,8.88012,0.123216,,9.128134,,0.00197513071713129,0.000920589725087185,GAMA
8432,NGC5636,0585-52027-0203,217.41257,3.2662974,0.413282,8.562584,,8.71438,8.825198,8.91248,0.0726188,,9.124579,,0.00193738592417175,0.000902997234487593,SDSS
8433,NGC5645,318,217.66425,7.27499,0.289228,8.258203,8.213491,8.407336,8.441825,8.39464,0.264286,8.394302,8.672265,-1.39617665,0.0,0.0,HRS
8434,NGC5645,1827-53531-0565,217.66395,7.2750943,0.207074,8.317406,,8.407717,8.439603,8.41083,0.454927,,8.669616,,0.022413886842471,0.00812755314591158,SDSS
8435,NGC5658,619104,218.11875,0.29401,0.214697,8.332776,8.360868,8.49365,8.494493,8.47556,1.72454,8.618673,8.733869,-1.23467393,0.0076387026675234,0.00431226367273618,DV17
8436,NGC5658,0306-51690-0505,218.12119,0.2928901,0.419545,8.291953,,8.417996,8.456957,8.42701,0.858834,,8.690192,,0.187108680675082,0.105628141537593,SDSS
8437,NGC5658,0306-51637-0507,218.12119,0.2928901,0.374768,8.301101,,8.425321,8.462458,8.42701,0.797935,,8.696658,,0.187108680675082,0.105628141537593,SDSS
8438,NGC5667,0789-52342-0600,217.59617,59.462458,0.311688,8.25119,,8.272861,8.283538,8.31373,0.493602,,8.467028,,0.543959457610016,0.216952720920093,SDSS
8439,NGC5667,NGC5667,217.5954,59.46974,1.283473,,,8.447049,8.424717,8.44319,0.175968,,8.651733,,0.0,0.0,UZW
8440,NGC5668,320,218.35125,4.45033,0.175603,8.3583,8.454463,8.488311,8.538531,8.39464,0.0841579,8.977375,8.784082,-0.99163359,0.0,0.0,HRS
8441,NGC5668,8,218.3401521,4.4503194,0.0,8.094112,8.057421,8.258736,8.42169,8.16809,0.142397,8.289946,8.648069,-1.42618516,0.738325837755809,0.192305578910364,Pilyu14(Marino_2012arXiv1205.5051M)
8442,NGC5668,43,218.3532472,4.4561528,0.0,8.363322,8.446421,8.488755,8.597651,8.32992,0.0931626,9.016712,8.850749,-0.97298529,0.387671119724292,0.100973466311314,Pilyu14(Marino_2012arXiv1205.5051M)
8443,NGC5668,17,218.3448329,4.4402361,0.0,8.305306,8.158852,8.42488,8.351843,8.41083,0.454985,7.577803,8.560317,-1.56305038,0.75704794787988,0.19718197093367,Pilyu14(Marino_2012arXiv1205.5051M)
8444,NGC5668,52,218.3580395,4.454875,0.0,8.368082,8.400673,8.488755,8.536682,8.39464,0.085115,8.877093,8.781989,-1.10476382,0.527914755640183,0.137501557587756,Pilyu14(Marino_2012arXiv1205.5051M)
8445,NGC5668,41,218.352885,4.4418472,0.0,8.304058,8.318276,8.391318,8.488271,8.29755,0.0787968,8.897992,8.726696,-1.16420956,0.5507308457308,0.143444274460138,Pilyu14(Marino_2012arXiv1205.5051M)
8446,NGC5668,36,218.3517705,4.4720139,0.0,8.282481,8.145902,8.355761,8.368788,8.3461,0.146442,8.322563,8.582226,-1.46024347,1.37090188617388,0.357067391344865,Pilyu14(Marino_2012arXiv1205.5051M)
8447,NGC5668,13,218.3425483,4.449375,0.0,8.309831,8.198865,8.42488,8.496174,8.3461,0.0939485,8.451575,8.735802,-1.38872506,0.580218330519035,0.151124633920466,Pilyu14(Marino_2012arXiv1205.5051M)
