Name,mtot,re,n,q,PA,Her,map,logLum,logMass,i,T,e_T,SimbadName
NGC4370,11.57,19.26,3.99,0.53,81.1,,11.63,9.35,10.57,53.3,0.7,1.1,NGC4370
NGC4371,10.09,30.92,3.5,0.79,-77.2,,10.2,9.37,10.58,60.6,-1.3,0.6,NGC4371
NGC4374,8.09,126.61,7.33,0.9,-52.5,,8.35,10.28,11.49,17.7,-4.4,1.2,NGC4374
NGC4377,11.27,10.12,3.7,0.81,0.1,,11.36,8.94,10.16,36.7,-2.6,0.6,NGC4377
IC3305,14.52,19.13,1.45,0.42,38.8,,14.63,8.34,9.55,68.7,-5.0,1.2,IC3305
NGC4379,11.21,15.85,3.36,0.8,-85.0,,11.31,8.87,10.08,37.7,-2.7,0.6,NGC4379
NGC4376,13.29,21.01,1.01,0.62,-14.0,*,13.33,8.36,9.57,49.6,9.8,0.7,NGC4376
NGC4378,10.7,27.79,5.09,0.79,-16.5,*,10.85,10.03,11.24,32.8,1.0,0.3,NGC4378
NGC4380,10.89,55.59,1.82,0.55,-23.1,*,11.08,9.18,10.39,57.6,2.4,0.9,NGC4380
NGC4383,11.64,12.28,3.66,0.46,23.7,,11.66,8.83,10.04,45.2,0.8,0.8,NGC4383
IC3311,13.96,26.07,0.61,0.17,-45.4,*,13.97,8.0,9.21,90.0,7.5,1.1,IC3311
PGC040547,15.18,23.43,0.82,0.53,-78.8,,15.36,7.15,8.36,59.8,-2.4,5.3,PGC040547
IC3313,12.72,113.26,4.68,0.79,12.9,,14.1,7.65,8.87,38.9,-4.0,1.8,IC3313
NGC4387,11.69,12.57,2.34,0.56,-35.1,,11.74,8.8,10.02,58.2,-4.8,0.6,NGC4387
NGC4385,12.04,24.06,4.33,0.52,-84.0,,12.22,9.16,10.38,55.0,-0.1,2.1,NGC4385
NGC4388,10.25,39.94,4.18,0.28,-89.8,*,10.45,9.3,10.51,76.1,2.8,0.7,NGC4388
NGC4390,12.97,22.17,0.89,0.75,-83.2,*,13.01,8.63,9.85,40.6,5.0,0.8,NGC4390
IC3322,12.92,31.13,1.14,0.18,-22.5,*,12.99,8.4,9.61,90.0,6.3,1.1,IC3322
UGC07522,12.36,34.48,0.57,0.1,-51.4,*,12.39,9.15,10.36,90.0,5.7,0.6,UGC07522
NGC4396,12.43,47.03,1.59,0.27,-54.5,*,12.61,8.36,9.57,76.4,6.8,0.8,NGC4396
IC3331,14.36,17.88,2.08,0.54,54.2,,14.44,7.51,8.72,59.4,-3.6,1.9,IC3331
NGC4402,10.93,44.45,0.9,0.19,89.6,*,11.46,8.6,9.82,87.4,3.2,0.8,NGC4402
NGC4406,7.7,307.59,6.54,0.72,-57.7,,8.12,10.23,11.45,45.4,-4.8,0.5,NGC4406
PGC040659,7.65,336.99,6.8,0.71,-57.7,,8.22,10.0,11.21,46.3,-5.0,1.0,PGC040659
NGC4411A,13.1,31.35,1.2,0.92,-1.9,*,13.17,8.18,9.39,32.6,5.4,0.7,NGC4411A
NGC4413,11.76,35.38,2.55,0.73,35.8,*,11.93,8.59,9.8,45.2,2.1,1.1,NGC4413
NGC4412,12.14,19.15,1.06,0.84,-44.1,*,12.18,9.23,10.45,17.2,3.2,0.6,NGC4412
NGC4415,12.62,19.4,2.18,0.87,6.3,,12.67,8.34,9.55,30.1,-0.9,2.1,NGC4415
NGC4416,12.35,22.1,1.25,0.95,-78.2,*,12.4,9.24,10.45,30.7,5.9,0.5,NGC4416
NGC4417,10.6,24.06,4.26,0.33,48.3,,10.71,9.12,10.33,74.0,-1.9,0.5,NGC4417
IC3355,15.66,28.52,0.37,0.31,-6.0,,15.79,4.32,5.53,70.5,9.7,1.0,IC3355
IC3358,13.64,22.27,1.72,0.78,-62.5,,13.72,7.8,9.01,40.0,-5.0,1.4,IC3358
PGC040759,14.59,23.72,1.48,0.72,-59.6,,14.66,7.42,8.63,45.4,-5.0,1.0,PGC040759
NGC4355,12.52,11.92,4.34,0.5,60.5,*,12.63,8.76,9.97,61.1,1.1,0.5,NGC4355
NGC4419,10.29,20.73,2.44,0.31,-47.1,*,10.36,9.34,10.55,73.5,1.2,0.9,NGC4419
NGC4409,12.05,21.73,0.64,0.41,11.6,*,12.08,8.53,9.74,61.7,4.7,0.9,NGC4409
NGC4423,13.55,27.58,1.06,0.18,20.6,*,13.66,8.12,9.34,90.0,7.8,0.7,NGC4423
NGC4424,11.2,50.93,3.14,0.4,-82.2,,11.4,7.68,8.89,57.5,0.9,0.5,NGC4424
NGC4425,11.49,27.68,2.06,0.29,25.7,,11.6,8.81,10.02,76.4,-0.6,1.2,NGC4425
PGC040819,11.4,0.01,4.95,0.93,2.9,,11.62,5.22,6.44,22.0,-3.0,2.4,PGC040819
IC3371,15.12,18.18,0.92,0.14,53.0,,15.29,7.88,9.1,90.0,6.0,0.6,IC3371
NGC4430,11.89,32.01,1.13,0.81,-87.5,*,11.94,9.33,10.54,32.0,3.5,0.9,NGC4430
NGC4429,9.16,62.14,3.68,0.48,-82.5,,9.3,9.51,10.72,63.0,-0.8,1.5,NGC4429
PGC040821,14.71,51.67,0.83,0.66,-24.6,,14.94,4.31,5.52,50.5,-5.0,2.0,PGC040821
NGC4434,11.61,10.46,3.89,0.92,31.6,,11.72,9.01,10.22,23.7,-4.7,0.7,NGC4434
NGC4435,10.04,24.93,5.43,0.57,8.6,*,10.25,9.34,10.55,56.8,-2.1,0.5,NGC4435
NGC4436,13.04,20.07,2.43,0.43,-67.0,,13.12,8.26,9.47,66.8,-1.8,0.9,NGC4436
NGC4438,9.62,32.56,4.67,0.49,22.1,*,9.83,9.17,10.39,62.1,0.6,1.5,NGC4438
NGC4440,11.24,19.02,4.34,0.91,-60.2,,11.4,8.91,10.13,24.8,1.1,0.6,NGC4440
UGC07579,13.98,15.17,0.87,0.22,-49.9,*,14.02,8.62,9.83,90.0,7.8,1.9,UGC07579
NGC4442,9.86,21.59,3.48,0.53,81.9,,9.95,9.38,10.59,69.2,-1.9,0.4,NGC4442
IC0794,13.06,23.72,3.05,0.76,-80.7,,13.2,8.47,9.68,41.7,-4.2,0.7,IC0794
NGC4449,9.78,64.67,1.84,0.57,43.6,*,9.8,8.34,9.55,46.6,9.8,0.5,NGC4449
IC3381,12.88,31.57,2.56,0.7,-77.3,,12.88,8.28,9.5,47.0,-4.1,0.8,IC3381
NGC4445,12.27,30.0,0.71,0.16,-75.5,*,12.31,8.59,9.8,90.0,2.0,0.8,NGC4445
IC3391,13.17,22.67,0.6,0.69,65.1,*,13.2,8.45,9.66,42.9,5.9,0.5,IC3391
NGC4450,9.35,75.35,3.57,0.58,1.6,*,9.62,9.58,10.8,46.5,2.4,0.7,NGC4450
UGC07596,14.56,32.97,1.0,0.43,-42.4,,14.62,6.48,7.69,63.1,9.8,0.5,UGC07596
NGC4451,12.42,12.76,0.95,0.55,-18.5,*,12.39,8.88,10.09,46.0,2.5,2.6,NGC4451
IC3393,14.27,14.77,1.66,0.42,-46.7,,14.29,7.83,9.04,67.4,-1.6,1.9,IC3393
IC3392,11.74,25.38,1.39,0.4,38.4,*,11.81,8.37,9.59,65.7,2.4,0.8,IC3392
NGC4452,11.73,25.42,0.82,0.17,31.9,,11.72,8.72,9.94,90.0,-1.9,0.8,NGC4452
NGC4460,11.5,34.51,2.03,0.25,40.0,*,11.64,8.3,9.51,77.8,-0.9,1.4,NGC4460
NGC4454,11.26,35.78,2.95,0.75,26.3,,11.44,9.42,10.63,17.9,0.2,0.5,NGC4454
NGC4458,11.74,16.82,3.45,0.87,6.3,,11.84,8.69,9.9,30.4,-4.9,0.4,NGC4458
NGC4457,9.87,36.08,7.87,0.73,66.5,,10.09,9.02,10.24,22.0,0.3,1.1,NGC4457
NGC4459,9.43,40.56,5.63,0.8,-77.3,,9.57,9.57,10.78,37.6,-1.6,1.1,NGC4459
NGC4461,10.49,25.88,4.22,0.45,9.4,,10.65,8.9,10.11,70.5,-0.7,1.3,NGC4461
NGC4464,12.1,6.67,3.21,0.72,4.3,,12.16,8.53,9.74,45.1,-2.7,3.4,NGC4464
IC3413,13.39,19.96,2.77,0.61,-9.5,,13.52,8.68,9.9,54.3,-4.5,1.1,IC3413
NGC4469,10.49,46.12,2.48,0.33,86.8,,10.66,9.18,10.4,73.2,0.2,0.7,NGC4469
NGC4468,12.58,18.6,2.94,0.72,67.4,,12.71,8.31,9.52,45.1,-2.7,0.8,NGC4468
NGC4470,12.48,15.68,0.68,0.64,5.4,*,12.5,8.47,9.68,46.3,1.9,2.1,NGC4470
NGC4472,7.41,153.88,5.33,0.82,-23.0,,7.6,10.4,11.61,45.9,-4.8,0.5,NGC4472
NGC4473,9.48,39.55,6.33,0.55,-87.0,,9.64,9.51,10.72,59.0,-4.7,0.7,NGC4473
NGC4474,11.08,23.32,4.36,0.47,78.6,,11.18,8.9,10.12,64.0,-1.9,0.9,NGC4474
NGC4476,11.95,11.04,4.03,0.6,26.4,,12.02,8.67,9.89,54.7,-2.9,1.0,NGC4476
UGC07636,,,,,,,,,,,9.8,0.5,UGC07636
NGC4477,9.56,47.15,4.93,0.82,19.7,,9.78,9.52,10.73,35.6,-1.7,0.7,NGC4477
NGC4482,12.83,23.55,2.11,0.59,-45.2,,12.93,8.34,9.55,55.9,-4.8,0.6,NGC4482
IC3430,14.69,18.25,1.63,0.41,-72.9,,14.63,7.42,8.64,67.7,0.0,2.0,IC3430
NGC4478,10.9,11.74,1.94,0.81,-34.9,,10.94,9.08,10.29,37.0,-4.9,0.4,NGC4478
NGC4479,12.14,19.76,2.0,0.61,18.3,,12.2,8.59,9.8,53.8,-1.9,0.5,NGC4479
NGC4480,11.95,28.12,1.29,0.53,-5.0,*,11.98,9.34,10.55,59.4,5.1,0.7,NGC4480
NGC4483,11.79,14.85,2.78,0.62,67.7,,11.88,8.69,9.9,52.9,-1.4,0.7,NGC4483
NGC4486,7.99,78.36,3.8,0.89,-23.8,,8.09,10.21,11.43,27.9,-4.3,0.6,NGC4486
NGC4488,11.57,58.33,3.19,0.33,-26.1,,11.75,8.11,9.33,76.6,-0.1,0.6,NGC4488
NGC4491,12.33,23.79,1.5,0.47,-38.5,,12.37,7.16,8.38,60.2,1.0,1.1,NGC4491
NGC4492,11.08,45.61,3.89,0.94,22.0,*,11.31,9.51,10.72,26.2,1.0,0.6,NGC4492
NGC4494,9.26,51.52,4.84,0.84,-1.2,,9.42,9.68,10.89,33.8,-4.8,0.4,NGC4494
NGC4497,12.13,28.3,1.39,0.44,63.0,,12.17,8.42,9.63,65.9,-1.1,1.1,NGC4497
NGC4496A,11.59,50.82,1.28,0.77,48.6,*,11.66,8.67,9.88,29.3,7.4,1.7,NGC4496A
NGC4498,12.13,38.13,1.12,0.4,-51.7,*,12.18,8.57,9.79,52.7,6.4,0.9,NGC4498
IC0797,13.01,20.79,1.2,0.7,-77.9,*,13.01,8.53,9.74,53.8,6.1,1.0,IC0797
IC3459,14.33,21.85,0.8,0.55,-26.5,,14.28,5.82,7.03,58.9,9.8,0.5,IC3459
NGC4501,8.78,62.96,1.34,0.48,-38.9,*,8.81,9.57,10.78,60.6,3.3,0.6,NGC4501
NGC4502,14.19,14.53,0.87,0.51,44.1,,14.28,8.17,9.38,58.0,5.9,0.9,NGC4502
NGC4503,10.39,29.0,3.49,0.5,9.2,,10.55,8.92,10.13,65.1,-1.7,1.8,NGC4503
NGC4506,12.68,21.3,1.54,0.7,-71.1,,12.73,8.2,9.41,39.7,1.1,0.9,NGC4506
IC3468,12.86,24.92,2.71,0.82,-18.7,,13.04,8.15,9.36,36.0,-4.8,0.6,IC3468
UGC07688,14.09,30.02,1.01,0.77,69.5,,14.16,7.61,8.82,40.8,9.7,1.0,UGC07688
UGC07700,14.17,22.66,1.99,0.65,85.4,,14.29,8.62,9.83,44.1,7.9,0.7,UGC07700
IC3475,13.59,43.55,1.04,0.83,70.6,,13.73,8.76,9.97,41.5,-4.6,1.9,IC3475
IC3476,12.73,27.33,1.51,0.73,12.5,*,12.82,8.0,9.21,44.7,9.5,1.3,IC3476
NGC4437,9.79,131.04,0.8,0.11,82.5,*,10.22,8.76,9.97,90.0,6.0,0.3,NGC4437
NGC4521,11.57,15.81,3.49,0.29,-13.1,,11.76,9.51,10.72,76.2,-0.2,0.7,NGC4521
NGC4516,12.37,22.17,1.71,0.43,-0.8,,12.43,8.32,9.53,66.0,1.5,1.3,NGC4516
NGC4519,12.11,28.98,1.77,0.84,86.2,*,12.21,8.67,9.89,39.2,6.9,0.4,NGC4519
NGC4522,12.0,37.18,1.71,0.24,34.5,*,12.12,8.48,9.69,76.4,5.9,0.6,NGC4522
IC3499,13.02,14.22,2.48,0.29,-55.2,,13.07,8.05,9.27,76.3,-0.4,1.2,IC3499
NGC4525,12.54,32.6,1.05,0.55,55.4,*,12.63,8.04,9.25,57.4,5.9,0.5,NGC4525
IC0800,13.04,28.83,1.09,0.55,-27.1,,13.09,8.05,9.27,41.6,5.3,1.0,IC0800
NGC4526,8.98,41.35,3.82,0.44,-66.3,*,9.18,9.7,10.91,66.1,-1.9,0.4,NGC4526
NGC4528,11.59,9.42,2.41,0.56,6.7,,11.65,8.73,9.94,56.1,-2.0,0.5,NGC4528
NGC4527,9.39,41.9,4.81,0.4,69.0,*,9.57,9.47,10.68,75.9,4.0,0.2,NGC4527
IC3509,14.09,10.55,3.35,0.77,57.2,,14.16,7.78,8.99,40.9,-5.0,1.0,IC3509
NGC4531,11.18,36.92,1.41,0.66,-24.4,*,11.23,8.86,10.08,49.2,-0.1,2.4,NGC4531
NGC4532,11.88,26.87,0.79,0.26,-19.2,*,11.81,8.37,9.58,62.8,9.7,0.8,NGC4532
NGC4535,9.63,92.28,1.1,0.78,16.5,*,9.67,9.48,10.69,25.8,5.0,0.4,NGC4535
NGC4533,13.5,24.76,1.4,0.22,-17.9,,13.54,8.15,9.36,90.0,7.1,1.3,NGC4533
NGC4536,9.02,442.58,20.0,0.54,-69.2,*,9.93,9.35,10.57,65.3,4.3,0.7,NGC4536
IC3517,14.9,22.56,0.83,0.5,21.4,,14.97,7.41,8.62,53.2,8.5,0.9,IC3517
IC3518,14.01,29.64,1.19,0.37,36.2,,14.03,7.67,8.88,72.8,10.0,0.5,IC3518
IC3521,12.89,22.3,0.97,0.44,25.5,,12.85,8.33,9.55,43.0,9.8,0.4,IC3521
NGC4540,11.71,25.92,1.0,0.78,47.3,,11.7,8.52,9.74,18.1,6.2,0.9,NGC4540
NGC4546,9.85,22.08,4.29,0.46,77.3,,9.92,9.32,10.53,56.7,-2.7,0.6,NGC4546
NGC4550,11.26,16.13,1.97,0.31,-1.3,,11.32,8.84,10.05,90.0,-2.0,0.7,NGC4550
NGC4562,13.38,33.32,0.87,0.34,49.7,,13.48,7.7,8.91,70.1,7.1,1.4,NGC4562
NGC4551,11.4,15.04,2.36,0.7,68.5,,11.45,8.83,10.04,47.1,-4.9,0.4,NGC4551
NGC4552,8.85,56.27,7.61,0.92,-50.0,,9.02,9.79,11.0,23.7,-4.6,0.9,NGC4552
PGC041994,17.66,12.5,1.32,0.17,5.8,,17.96,7.07,8.28,84.5,8.0,2.4,PGC041994
NGC4559,10.03,89.29,1.37,0.41,-36.4,*,10.13,8.66,9.87,63.9,6.0,0.4,NGC4559
NGC4561,12.96,20.25,1.14,0.9,45.1,*,13.0,8.55,9.76,30.1,7.2,1.2,NGC4561
NGC4565,8.5,109.0,1.39,0.13,-44.6,,8.73,9.67,10.88,90.0,3.2,0.7,NGC4565
NGC4564,10.49,20.05,4.18,0.43,48.1,,10.58,9.15,10.37,67.8,-4.6,0.7,NGC4564
NGC4567,10.88,39.23,1.21,0.66,81.9,,10.9,9.6,10.81,49.3,4.0,0.3,NGC4567
NGC4568,10.02,37.99,1.71,0.38,24.4,,10.06,9.53,10.75,63.9,4.1,0.3,NGC4568
PGC042068,14.04,27.36,1.76,0.56,32.3,,14.17,7.08,8.3,55.6,10.0,2.0,PGC042068
NGC4569,8.99,90.98,3.49,0.37,20.2,*,9.24,9.45,10.66,67.4,2.4,0.7,NGC4569
NGC4570,10.23,22.8,4.2,0.26,-20.6,,10.34,9.32,10.53,79.5,-1.9,1.0,NGC4570
IC3586,12.96,78.91,5.48,0.8,54.7,,13.58,8.0,9.21,37.7,-2.0,1.4,IC3586
NGC4571,10.72,58.84,1.49,0.9,42.7,,10.83,9.24,10.45,19.6,6.4,0.8,NGC4571
NGC4589,10.06,36.16,5.28,0.8,85.6,,10.2,9.75,10.96,38.0,-4.8,0.4,NGC4589
PGC042147,16.23,24.35,0.74,0.42,-62.5,,16.11,6.84,8.05,66.7,1.6,7.1,PGC042147
NGC4578,10.7,41.3,5.98,0.68,30.1,,11.0,9.02,10.23,48.3,-2.1,0.6,NGC4578
PGC042160,14.53,20.97,0.73,0.56,-66.6,,14.52,7.61,8.82,42.6,9.5,0.8,PGC042160
NGC4579,8.78,83.45,5.0,0.72,66.7,*,9.02,9.99,11.21,42.2,2.8,0.6,NGC4579
UGC07795,15.24,31.61,0.81,0.66,27.0,,15.34,7.08,8.3,47.2,9.8,0.5,UGC07795
NGC4580,11.32,27.9,1.04,0.68,-25.3,*,11.35,9.02,10.23,41.3,1.6,0.7,NGC4580
NGC4584,12.84,19.15,1.72,0.74,5.7,,12.93,8.12,9.33,45.5,1.4,1.2,NGC4584
UGC07802,14.19,25.73,0.82,0.15,56.9,,14.24,7.93,9.14,90.0,6.1,0.8,UGC07802
NGC4586,11.04,39.08,4.89,0.45,-64.6,*,11.35,8.69,9.91,71.9,1.2,1.0,NGC4586
IC3611,13.85,17.48,1.69,0.59,-41.8,,13.88,8.74,9.96,63.9,6.3,4.6,IC3611
NGC4591,12.7,13.91,1.39,0.47,37.2,*,12.75,9.18,10.39,58.6,3.1,1.4,NGC4591
NGC4592,12.15,41.96,0.83,0.3,-87.2,*,12.22,8.24,9.46,74.0,7.9,0.5,NGC4592
IC3631,13.61,11.78,1.75,0.51,87.4,,13.67,8.8,10.01,48.8,-1.2,1.7,IC3631
NGC4595,12.43,20.86,0.98,0.66,-65.3,*,12.47,8.41,9.62,44.0,4.0,1.9,NGC4595
NGC4596,9.61,58.3,4.52,0.65,79.5,,9.82,9.21,10.42,36.2,-0.8,0.8,NGC4596
NGC4594,7.27,104.91,3.62,0.44,88.7,,7.26,9.97,11.18,90.0,1.1,0.3,NGC4594
NGC4606,11.57,33.7,2.19,0.42,39.5,,11.7,8.52,9.73,60.7,0.6,1.4,NGC4606
NGC4607,11.92,27.05,1.07,0.14,2.4,*,11.95,8.82,10.03,90.0,4.0,2.2,NGC4607
NGC4608,10.4,35.67,4.64,0.65,28.0,,10.55,9.39,10.61,50.7,-1.7,0.8,NGC4608
NGC4612,11.03,24.8,3.05,0.76,-48.6,,11.09,8.99,10.21,41.4,-2.0,0.4,NGC4612
NGC4618,10.81,59.4,1.58,0.79,36.1,,10.88,8.31,9.52,42.6,8.6,1.1,NGC4618
NGC4625,12.19,21.38,1.28,0.93,-15.3,*,12.21,7.94,9.15,20.4,8.7,0.9,NGC4625
NGC4627,12.83,28.28,1.1,0.65,34.3,,12.88,7.79,9.01,51.2,-4.7,0.7,NGC4627
NGC4621,8.92,67.97,6.34,0.62,-16.2,,9.05,9.72,10.93,53.6,-4.8,0.4,NGC4621
NGC4631,8.84,92.5,1.84,0.21,83.3,,8.81,9.21,10.42,90.0,6.5,0.7,NGC4631
NGC4630,12.08,23.22,1.57,0.66,-1.4,*,12.12,8.55,9.76,41.1,9.7,1.3,NGC4630
NGC4629,14.1,16.95,0.87,0.77,79.8,,14.13,8.38,9.6,42.4,9.1,0.7,NGC4629
NGC4633,13.15,33.83,0.98,0.4,34.4,*,13.25,8.13,9.34,63.6,7.9,1.0,NGC4633
NGC4638,10.79,13.21,3.1,0.44,-56.2,,10.8,9.15,10.37,66.3,-2.6,0.7,NGC4638
NGC4636,8.33,173.88,5.92,0.8,-35.2,,8.68,9.83,11.04,38.0,-4.8,0.5,NGC4636
NGC4639,11.22,22.03,1.97,0.66,-16.8,*,11.28,9.3,10.51,49.9,3.6,0.7,NGC4639
NGC4643,9.74,32.17,4.41,0.66,-49.1,,9.8,9.24,10.45,37.5,-0.5,0.9,NGC4643
NGC4647,10.69,38.02,1.92,0.83,-78.8,,10.71,9.19,10.41,34.2,5.1,0.6,NGC4647
NGC4649,7.94,81.47,4.69,0.8,-78.5,,8.06,10.24,11.45,38.0,-4.6,0.9,NGC4649
NGC4651,10.39,28.55,1.52,0.65,77.1,*,10.39,9.57,10.79,55.2,5.1,0.6,NGC4651
NGC4654,10.04,61.53,1.62,0.48,-58.0,*,10.12,9.24,10.45,57.3,5.9,0.5,NGC4654
NGC4656,11.66,93.62,1.93,0.25,35.3,,11.9,7.68,8.89,90.0,9.0,0.7,NGC4656
UGC07916,15.65,37.69,1.7,0.5,-14.4,,15.68,6.55,7.76,62.8,9.9,0.5,UGC07916
PGC042902,14.03,16.29,3.23,0.64,-18.5,,14.13,6.33,7.55,52.1,-5.0,2.0,PGC042902
NGC4660,10.74,9.46,3.53,0.56,-83.4,,10.77,9.03,10.25,58.2,-4.6,0.7,NGC4660
IC3718,13.51,31.56,1.17,0.32,72.3,,13.6,7.23,8.44,75.6,-2.5,2.9,IC3718
NGC4624,9.68,62.29,4.99,0.69,-3.6,,9.91,9.1,10.31,47.3,-0.6,1.0,NGC4624
NGC4666,9.42,34.44,1.64,0.23,41.2,*,9.46,9.54,10.76,78.8,5.0,0.8,NGC4666
NGC4668,13.24,19.51,0.71,0.48,5.9,*,13.27,8.08,9.29,57.0,7.5,2.1,NGC4668
PGC091228,16.26,22.19,1.99,0.33,65.5,,16.29,7.07,8.29,90.0,7.4,1.1,PGC091228
NGC4684,10.97,21.74,2.6,0.34,21.8,*,11.08,8.82,10.03,71.2,-1.2,0.9,NGC4684
NGC4689,10.47,63.02,1.65,0.79,-19.8,*,10.59,9.1,10.32,36.7,4.7,0.9,NGC4689
NGC4688,12.62,54.38,1.75,0.81,25.7,*,12.76,8.36,9.57,38.1,6.0,0.3,NGC4688
NGC4691,10.68,35.32,2.81,0.47,83.9,,10.68,8.06,9.27,35.2,0.3,0.9,NGC4691
NGC4698,9.89,46.86,3.54,0.72,-13.4,*,10.01,9.68,10.89,63.9,1.6,1.0,NGC4698
NGC4697,8.51,97.42,5.27,0.6,65.4,,8.73,9.69,10.9,55.1,-4.5,0.8,NGC4697
NGC4696,9.21,70.14,2.96,1.0,80.0,,9.34,10.38,11.59,0.0,-3.8,0.6,NGC4696
NGC4701,12.19,14.9,1.47,0.75,39.1,*,12.16,8.6,9.81,43.8,5.9,0.5,NGC4701
NGC4710,10.11,43.81,2.2,0.2,27.5,*,10.22,8.98,10.2,90.0,-0.9,0.8,NGC4710
UGC07982,12.46,39.17,1.26,0.13,0.6,*,12.59,8.53,9.74,90.0,3.3,2.2,UGC07982
NGC4713,11.82,28.97,0.96,0.74,86.7,*,11.85,8.59,9.81,49.9,6.8,0.5,NGC4713
NGC4725,8.55,164.05,5.37,0.59,39.1,*,8.9,9.61,10.82,47.5,2.2,0.6,NGC4725
UGC07991,13.6,27.58,0.81,0.12,-10.2,,13.64,8.17,9.38,90.0,6.5,0.7,UGC07991
NGC4720,13.22,11.1,1.13,0.45,-63.2,*,13.24,8.31,9.53,65.6,-2.6,1.4,NGC4720
NGC4736,7.5,45.58,5.03,0.87,-78.5,*,7.55,9.26,10.48,34.4,2.3,0.8,NGC4736
NGC4731,11.58,49.86,2.41,0.34,-66.3,*,11.65,8.57,9.79,62.0,5.9,0.5,NGC4731
PGC043526,13.81,20.27,1.19,0.62,-1.5,,13.86,8.26,9.47,53.8,10.0,0.5,PGC043526
NGC4747,11.98,55.56,1.66,0.31,32.9,*,12.14,8.33,9.54,90.0,7.3,1.9,NGC4747
NGC4746,11.79,21.96,0.75,0.2,-60.2,*,11.8,9.25,10.46,80.2,3.2,0.6,NGC4746
NGC4754,9.82,34.61,5.92,0.7,11.4,,10.02,9.4,10.61,61.7,-2.4,1.1,NGC4754
NGC4753,9.03,52.64,4.19,0.62,-87.7,*,9.18,9.93,11.14,58.7,-1.3,1.1,NGC4753
NGC4758,12.36,45.81,1.52,0.17,-20.3,*,12.55,8.24,9.45,90.0,9.0,2.2,NGC4758
NGC4762,9.77,72.01,4.07,0.14,30.3,,9.99,9.07,10.29,90.0,-1.8,0.9,NGC4762
NGC4765,13.07,10.24,1.51,0.58,76.9,*,13.07,8.15,9.36,47.7,1.5,3.4,NGC4765
NGC4771,11.47,39.83,0.86,0.23,-46.0,*,11.57,8.88,10.09,78.0,6.0,1.2,NGC4771
NGC4772,10.52,46.65,5.27,0.69,-31.7,*,10.78,9.56,10.77,59.7,1.2,0.7,NGC4772
NGC4775,11.71,28.01,1.24,0.87,-88.7,*,11.78,8.4,9.61,30.6,6.9,0.4,NGC4775
NGC4779,12.19,24.26,2.73,0.55,7.7,*,12.31,9.26,10.47,37.0,4.6,0.9,NGC4779
NGC4789A,14.68,44.92,0.6,0.46,32.0,,14.67,6.34,7.56,61.0,9.9,0.4,NGC4789A
NGC4793,11.23,18.19,0.93,0.45,51.5,*,11.23,9.36,10.58,57.4,5.0,0.7,NGC4793
NGC4791,13.88,7.27,0.86,0.59,65.3,,13.94,8.65,9.87,45.9,0.7,1.2,NGC4791
UGC08032,12.85,24.41,1.0,0.18,-13.2,,12.87,8.14,9.35,84.2,2.0,1.4,UGC08032
NGC4795,11.16,37.96,5.97,0.73,-56.2,,11.47,9.71,10.92,44.4,0.6,1.3,NGC4795
PGC093119,11.19,33.96,5.56,0.72,-58.2,,11.46,9.6,10.82,45.1,-3.2,2.2,PGC093119
UGC08042,14.63,16.07,1.78,0.73,-12.0,,14.68,8.39,9.61,54.7,5.5,2.1,UGC08042
NGC4799,12.24,11.29,0.64,0.29,86.3,*,12.23,9.4,10.61,72.7,2.5,1.8,NGC4799
NGC4808,11.44,25.49,1.1,0.35,-51.6,*,11.49,8.89,10.1,67.3,5.9,0.5,NGC4808
NGC4826,7.81,75.83,2.58,0.58,-68.5,*,7.9,9.13,10.34,57.3,2.2,0.6,NGC4826
NGC4845,10.13,52.87,3.67,0.28,75.9,*,10.4,9.37,10.59,77.8,2.2,0.8,NGC4845
PGC044532,13.33,57.76,0.92,0.43,23.9,,13.4,7.64,8.85,68.4,9.0,0.6,PGC044532
NGC4866,10.4,44.07,3.06,0.26,87.7,,10.68,9.67,10.89,79.8,0.0,1.3,NGC4866
NGC4904,11.75,25.56,1.72,0.8,-22.2,*,11.81,8.71,9.93,37.2,5.8,0.8,NGC4904
NGC4941,10.24,80.3,4.97,0.57,15.5,*,10.62,9.37,10.59,40.5,2.1,0.6,NGC4941
UGC08181,15.36,21.2,0.96,0.3,76.4,,15.39,7.28,8.49,74.9,8.1,0.8,UGC08181
NGC4945,6.93,236.13,0.78,0.18,41.5,*,7.04,9.27,10.48,82.1,6.1,0.6,NGC4945
NGC4961,13.15,12.82,1.66,0.67,-71.5,*,13.17,8.87,10.08,45.8,5.6,0.8,NGC4961
UGC08201,13.66,76.11,0.65,0.5,89.5,,13.83,6.83,8.05,66.5,9.9,0.4,UGC08201
NGC4981,10.89,33.54,2.28,0.66,-34.1,*,10.99,9.27,10.48,52.6,4.0,0.1,NGC4981
UGC08246,14.27,39.44,1.26,0.21,89.3,,14.35,7.91,9.12,77.6,6.0,0.7,UGC08246
NGC5014,12.49,10.62,1.88,0.28,-79.6,*,12.54,7.59,8.81,73.8,1.1,1.6,NGC5014
NGC5012,11.38,28.34,0.9,0.5,15.6,,11.43,9.59,10.8,56.4,5.1,0.5,NGC5012
NGC5016,12.21,16.99,1.25,0.71,55.7,*,12.25,9.43,10.64,41.9,4.4,0.5,NGC5016
IC4213,13.48,34.06,1.05,0.15,-4.8,,13.78,8.1,9.31,90.0,5.9,0.6,IC4213
