Name,F100,re100,n100,q100,PA100,F160,re160,n160,q160,PA160,F250,re250,n250,q250,PA250,F350,re350,n350,q350,PA350,F500,re500,n500,q500,PA500,chi2nu
NGC3655,22.38721139,14.75,0.83,0.59,31.6,22.14738865,16.36,0.86,0.59,31.6,9.21170473,18.5,0.79,0.59,31.6,3.64135093,20.48,0.92,0.59,31.6,1.20414841,22.69,0.95,0.59,31.6,1.74
NGC3659,4.4381298,15.62,0.4,0.51,53.5,5.12061975,18.19,0.56,0.51,53.5,2.74372139,22.14,0.57,0.51,53.5,1.4075458,26.69,0.99,0.51,53.5,0.635448,33.82,1.22,0.51,53.5,1.359
NGC3666,8.80643228,23.92,0.77,0.32,-82.3,10.81739098,27.9,0.84,0.32,-82.3,5.65379437,33.9,1.09,0.32,-82.3,2.77755416,40.61,1.02,0.32,-82.3,1.18325955,50.74,1.08,0.32,-82.3,1.737
NGC3681,2.39001155,19.65,0.37,0.95,-19.3,3.1054356,25.22,0.53,0.95,-19.3,2.64447831,35.1,0.56,0.95,-19.3,1.60569308,48.22,1.05,0.95,-19.3,0.84465628,72.12,1.46,0.95,-19.3,1.758
IC0691,4.72933415,5.0,2.97,0.76,-31.1,3.42706646,7.33,2.49,0.76,-31.1,1.23919602,10.5,2.41,0.76,-31.1,0.50683026,13.6,1.26,0.76,-31.1,0.16637192,17.41,0.56,0.76,-31.1,1.494
NGC3684,8.20351544,25.4,0.83,0.64,-52.4,10.81739098,30.46,0.86,0.64,-52.4,5.94210072,37.21,0.73,0.64,-52.4,2.82398597,43.53,0.94,0.64,-52.4,1.11449986,50.69,1.0,0.64,-52.4,1.343
NGC3683,30.98846042,17.68,0.47,0.35,-52.7,29.95866984,19.84,0.51,0.35,-52.7,11.82333537,22.76,0.51,0.35,-52.7,4.53380185,25.54,0.62,0.35,-52.7,1.46379418,28.79,0.62,0.35,-52.7,3.425
NGC3686,13.13409037,37.45,0.49,0.75,21.6,17.72239969,40.04,0.45,0.75,21.6,9.40026309,43.31,0.52,0.75,21.6,4.12346712,46.08,0.41,0.75,21.6,1.45304819,48.5,0.44,0.75,21.6,2.105
NGC3691,2.13796209,19.39,0.02,0.67,28.2,2.3950938,20.01,0.01,0.67,28.2,1.32415861,21.02,0.02,0.67,28.2,0.65835863,22.24,0.03,0.67,28.2,0.27585446,24.28,0.08,0.67,28.2,1.272
NGC3692,4.00313282,27.05,0.44,0.25,-85.8,5.77194955,30.57,0.47,0.25,-85.8,3.27446241,35.46,0.65,0.25,-85.8,1.68757287,40.34,0.57,0.25,-85.8,0.71825725,46.56,0.64,0.25,-85.8,1.664
