Name,RAJ2000,DEJ2000,z,SF,AGN,Comp,12+logOHPG16S,MzPG16S,12+logOHPG16R,MzPG16R,12+logOHN2,MzN2,12+logOHO3N2,MzO3N2,12+logOHIZI,MzIZI,12+logOHKK04,MzK04,12+logOHT04,MzT04,logNOPG16
NGC3031,148.88805,69.06544,0.00081,62,3,21,8.55,7.773626,8.518,7.747464,8.632,7.842194,8.591,7.807645,8.855,8.037998,8.924,8.100811,8.867,8.048857,-0.987
NGC3034,148.968,69.67977,0.00081,4,0,4,,,,,9.432,,,,8.829,,,,,,
NGC3049,148.70685,9.27136,0.00401,6,1,0,8.552,7.688563,8.535391,7.673138,8.676,7.804937,8.697,7.824836,8.833,7.954816,8.78302,7.906842,8.963,8.08053,-0.86481
NGC3073,150.2169,55.61892,0.0075,1,0,1,,,,,,,,,,,,,,,
NGC3077,150.82845,68.734,0.00087,3,0,0,8.418,6.983079,8.509019,7.068475,8.427,6.991472,8.496,7.056194,8.769,7.317381,8.65356,7.206088,8.737,7.286427,-0.956111
NGC3079,150.49095,55.67982,0.00371,1,2,1,,,,,,,,,,,,,,,
NGC3081,149.87295,-22.82636,0.00595,0,1,0,,,,,,,,,,,,,,,
NGC3147,154.2237,73.40073,0.01115,0,0,0,,,,,,,,,,,,,,,
NGC3155,154.41615,74.34739,0.01089,0,0,0,,,,,,,,,,,,,,,
NGC3182,154.8876,58.20579,0.00772,2,3,6,8.586,7.133635,8.695,7.228899,8.758,7.285243,8.743,7.27175,8.601,7.146562,9.132,7.633701,9.017,7.524501,-0.652
NGC3184,154.5708,41.42436,0.00261,172,1,3,8.547,7.858253,8.55,7.860617,8.612,7.910216,8.766,8.039027,8.923,8.177136,9.081,8.321399,9.052,8.29459,-0.757
NGC3185,154.41075,21.68832,0.00543,1,1,0,,,,,,,,,,,,,,,
NGC3187,154.4493,21.87333,0.0079,1,0,0,8.439,7.769432,,,8.668,7.943671,8.583,7.876473,8.489,7.805559,,,8.835,8.082974,
NGC3190,154.52625,21.83272,0.00546,2,0,0,,,,,9.234,,,,8.757,,,,,,
NGC3193,154.60365,21.894,0.00757,1,0,0,,,,,,,,,8.20046,,,,,,
NGC3198,154.9788,45.54971,0.00314,24,4,1,8.506,8.158501,8.428197,8.090587,8.572,8.217253,8.6,8.242464,8.87,8.49256,8.47556,8.131747,8.857,8.480277,-1.110176
NGC3245A,156.7548,28.63939,0.00596,3,0,0,8.233,7.222542,,,8.559,7.458395,8.562,7.460778,8.491,7.40532,,,8.811,7.66905,
NGC3252,158.59635,73.76502,0.00454,1,0,0,,,,,,,,,,,,,,,
NGC3254,157.33425,29.49219,0.00815,1,1,0,,,,,,,,,,,,,,,
NGC3256,156.96375,-43.90376,0.0084,34,3,68,8.526,8.311558,,,8.712,8.44891,8.692,8.433424,8.633,8.388707,,,8.959,8.651997,
NGC3277,158.2311,28.51167,0.00561,1,0,0,,,,,,,,,,,,,,,
NGC3287,158.697,21.64829,0.00314,3,0,0,8.415,6.922821,8.434386,6.935318,8.57,7.028086,8.646,7.083899,8.582,7.036724,8.47556,6.962509,8.906,7.29228,-1.089672
NGC3294,159.06765,37.32462,0.00675,2,1,1,8.571,8.061923,,,8.616,8.094054,8.718,8.170259,8.915,8.329015,8.84775,8.273276,8.987,8.390242,
NGC3301,159.2334,21.88214,0.00565,2,0,0,,,,,,,,,,,,,,,
NGC3338,160.5315,13.7469,0.00524,1,1,0,8.598,8.624126,,,8.713,8.729336,8.799,8.80943,8.915,8.919017,,,9.082,9.079228,
NGC3346,160.91205,14.87179,0.00503,3,0,0,8.48,7.651347,,,8.677,7.790915,8.711,7.816784,8.765,7.858837,8.68593,7.797663,8.989,8.044311,
NGC3351,160.99035,11.70355,0.00222,35,0,6,8.654,7.721789,8.666,7.731947,8.661,7.727709,8.857,7.898833,8.94,7.973953,9.198,8.214702,9.134,8.154133,-0.429
NGC3353,161.3433,55.96036,0.00425,69,0,2,8.216202,6.915428,8.375234,7.056524,8.318221,7.005282,8.295474,6.985033,8.365644,7.047857,8.928,7.578406,8.478706,7.151128,-1.061422
NGC3364,162.1242,72.42506,0.00947,0,0,0,,,,,,,,,,,,,,,
NGC3370,161.76675,17.27369,0.00669,2,0,1,8.478,8.124137,8.440811,8.092909,8.585,8.216226,8.692,8.311204,8.842,8.44827,8.47556,8.122075,8.957,8.555803,-1.091598
NGC3380,162.0507,28.60181,0.00157,1,1,1,,,,,,,,,,,,,,,
NGC3381,162.10335,34.7114,0.00645,117,2,1,8.427,7.630793,8.536,7.722669,8.619,7.794885,8.694,7.861584,8.688,7.856202,9.056,8.197683,8.959,8.105785,-0.811
NGC3403,163.47855,73.69036,0.00593,1,0,0,,,,,,,,,,,,,,,
NGC3413,162.8364,32.76639,0.00364,1,0,0,8.124,6.866067,,,8.254,6.965861,8.236,6.951638,8.314,7.014137,,,8.417,7.099863,
NGC3414,162.81735,27.97483,0.00561,2,1,0,,,,,,,,,,,,,,,
NGC3424,162.94335,32.90041,0.00656,0,0,2,,,,,,,,,,,,,,,
NGC3430,163.04775,32.95066,0.00678,3,1,0,8.548,8.285119,,,8.633,8.358407,8.713,8.429069,8.879,8.579986,8.86394,8.566087,8.985,8.678786,
NGC3437,163.14885,22.93414,0.00681,4,0,0,8.585,8.050184,8.54623,8.01712,8.707,8.15685,8.84,8.276967,8.893,8.325754,8.63738,8.095518,8.922383,8.352999,-0.92141
NGC3440,163.45605,57.11866,0.00894,1,1,0,7.995,7.391298,,,8.065,7.449822,8.031,7.421203,8.316,7.67061,,,,,
NGC3445,163.6488,56.98981,0.00473,2,1,0,8.262,7.200781,,,8.369,7.293655,8.383,7.306021,8.369,7.293655,,,8.606,7.508483,
NGC3448,163.66425,54.30515,0.0055,3,1,0,8.233411,7.813986,8.25803,7.835348,8.337391,7.905246,8.34635,7.91323,,,8.3461,7.913007,8.553118,8.10188,-1.287497
NGC3454,163.62165,17.34446,0.00463,4,1,0,8.4,7.146047,8.449682,7.178478,8.633,7.308674,8.559,7.254216,8.447,7.176694,8.42701,7.163518,8.806,7.444799,-1.009651
NGC3455,163.62945,17.28472,0.0061,1,1,1,,,,,8.576826,,8.610722,,,,8.49174,,8.865502,,
NGC3485,165.01005,14.84132,0.00588,3,0,0,8.511,7.886823,,,8.618,7.982413,8.844,8.191292,8.936,8.278381,8.78302,8.134151,9.152,8.486099,
NGC3488,165.34815,57.67763,0.0085,2,1,0,8.509,7.764113,,,8.669,7.896187,8.722,7.941683,8.804,8.013532,,,8.997,8.188428,
NGC3501,165.69705,17.98949,0.00507,1,0,1,,,,,,,,,,,,,,,
NGC3504,165.79635,27.97246,0.00743,1,0,5,8.626,8.054156,,,8.777,8.176367,8.823,8.215113,8.922,8.300557,,,9.119,8.477488,
NGC3512,166.0134,28.03625,0.00561,93,2,27,8.588,7.561385,,,8.785,7.733842,8.782,7.731146,8.825,7.769954,8.78302,7.732063,9.073,7.999975,
NGC3521,166.45245,-0.03578,0.00279,17,2,0,8.604,8.521108,8.557,8.482069,8.649,8.559134,8.727,8.626416,8.939,8.816573,9.074,8.941956,9.009,8.881241,-0.807
NGC3526,166.7361,7.1739,0.00434,1,1,0,8.220615,6.973418,8.177817,6.943969,8.582,7.253751,8.398801,7.105155,8.153,6.927312,8.37846,7.089424,8.620019,7.285977,-1.429461
NGC4045,180.6762,1.9767,0.0073,2,1,1,,,,,9.166,,,,8.987,,,,,,
NGC3547,167.48295,10.72052,0.00426,3,0,1,8.355,6.981645,8.428722,7.041883,8.478,7.083148,8.485,7.08907,8.482,7.08653,8.45937,7.067458,8.727,7.301734,-1.092982
NGC3564,167.65155,-37.54751,0.00809,0,1,0,,,,,,,,,,,,,,,
NGC3592,168.61395,17.25999,0.0046,1,0,0,8.393,6.988293,,,8.627,7.149063,8.588,7.120435,8.457,7.02954,,,8.839,7.315613,
NGC3596,168.77595,14.78694,0.00621,2,0,1,8.521,8.142489,,,8.685,8.273785,8.756,8.333473,8.854,8.418239,8.78302,8.356583,9.04,8.585341,
NGC3608,169.2456,18.14854,0.0051,0,0,0,,,,,,,,,,,,,,,
NGC3619,169.8399,57.7578,0.00718,13,2,5,8.502,7.930402,8.607,8.016379,8.686,8.083391,8.629,8.034853,8.564,7.980717,9.025,8.388052,8.887,8.261208,-0.749
