galaxy,split,role,n_points,rmse_v6,rmse_mond,rmse_tau_proxy,delta_tau_minus_v6,mean_rparent_cd,max_abs_rparent_cd,type_bin,inc_bin,distance_quality,tau_proxy_beats_tpg_v6,tau_proxy_beats_mond,tpg_v6_beats_mond,tau_minus_tpg_v6,tau_minus_mond
NGC0289,train,middle,28,13.448271346839,23.595309185371,13.716407786754,0.268136439916,1.3877787807810001e-17,0.423409051711,mid_T_3_5,inc_mid_40_60,1.0,False,True,True,0.2681364399150006,-9.878901398617
NGC0300,train,middle,25,9.831898035676,5.607034629924,9.830881977768,-0.001016057908,2.1094237467880002e-17,0.209197165047,late_T_6_8,inc_mid_40_60,2.0,True,False,False,-0.0010160579080000787,4.223847347844
NGC0801,train,candidate,13,31.348134413645,35.30652894116,32.445469757068,1.097335343423,3.202566417188e-18,0.21294223096,mid_T_3_5,inc_edge_ge_80,1.0,False,True,True,1.0973353434229978,-2.8610591840920065
NGC0891,train,candidate,18,29.637636010909,32.675712667896,28.523246267861,-1.114389743048,-4.625929269271e-18,0.700720054702,mid_T_3_5,inc_edge_ge_80,2.0,True,True,True,-1.1143897430479974,-4.152466400034999
NGC1003,train,middle,36,11.228797331873,8.233924992845,11.864409763398,0.635612431525,-3.469446951954e-18,0.430163325386,late_T_6_8,inc_high_60_80,1.0,False,False,False,0.6356124315249989,3.630484770553
NGC1090,train,middle,24,15.259685358846,18.764009439288,15.459420060502,0.199734701656,1.734723475977e-18,0.231122685272,mid_T_3_5,inc_high_60_80,1.0,False,True,True,0.19973470165600027,-3.304589378786
NGC1705,train,middle,14,20.5986439081,16.952015592861,20.592726768397,-0.005917139704,6.9388939039069996e-18,0.378053007866,irregular_T_ge_9,inc_edge_ge_80,2.0,True,False,False,-0.0059171397030013395,3.6407111755360013
NGC2366,train,middle,26,8.175530891778,11.387781875807,8.143375343875,-0.032155547903,-1.3877787807810001e-17,0.548143376403,irregular_T_ge_9,inc_high_60_80,2.0,True,True,True,-0.032155547902998904,-3.2444065319320003
NGC2403,train,middle,73,9.860995949285,6.239762201687,10.021604877583,0.160608928299,1.901066822988e-18,0.355111473542,late_T_6_8,inc_high_60_80,2.0,False,False,False,0.1606089282980001,3.7818426758959998
NGC2683,holdout,middle,11,10.314830339813,14.15101541451,11.740946672664,1.426116332851,-2.523234146875e-17,0.386742039954,mid_T_3_5,inc_edge_ge_80,2.0,False,True,True,1.4261163328510005,-2.4100687418460005
NGC2841,train,candidate,50,59.090074944174,53.023460818709,59.922123129253,0.832048185079,2.775557561563e-19,0.489096402965,mid_T_3_5,inc_high_60_80,3.0,False,False,False,0.8320481850790031,6.898662310544005
NGC2903,train,candidate,34,24.362146162225,24.963003772085,22.764511711508,-1.597634450717,4.796000198289e-18,0.409413418867,mid_T_3_5,inc_high_60_80,1.0,True,True,True,-1.597634450716999,-2.1984920605769993
NGC2915,train,candidate,30,26.007865667717,20.629433034345,26.033189663796,0.02532399608,-1.572815951552e-17,0.43156413187,irregular_T_ge_9,inc_mid_40_60,2.0,False,False,False,0.025323996079002598,5.403756629451003
NGC2955,train,middle,24,19.782113998497,23.273161362253,21.227199402496,1.445085403999,2.5442610980990002e-17,0.455934238773,mid_T_3_5,inc_mid_40_60,1.0,False,True,True,1.445085403999002,-2.0459619597569976
NGC2976,train,control,27,5.116930081932,5.678104979087,5.110294093237,-0.006635988695,-3.340948916696e-18,0.045010354159,mid_T_3_5,inc_high_60_80,2.0,True,True,True,-0.006635988694999817,-0.5678108858500002
NGC2998,train,candidate,13,27.115045191345,27.073474667687,27.852245233871,0.737200042527,3.736327486719e-18,0.181430283572,mid_T_3_5,inc_mid_40_60,1.0,False,False,False,0.7372000425259984,0.7787705661839972
NGC3109,train,middle,25,9.323880057063,5.041785679362,9.409403874384,0.085523817321,1.6098233857060002e-17,0.337954676172,irregular_T_ge_9,inc_high_60_80,2.0,False,False,False,0.08552381732099867,4.367618195021999
NGC3198,train,control,43,7.704000492041,11.179050056996,7.587787952886,-0.116212539154,-4.195610267479e-18,0.345037656995,mid_T_3_5,inc_high_60_80,3.0,True,True,True,-0.11621253915499974,-3.5912621041099992
NGC3521,train,control,41,7.110920589362,6.814883835391,7.285859999138,0.174939409777,2.8771023504009998e-18,0.260627729321,mid_T_3_5,inc_high_60_80,1.0,False,False,False,0.17493940977599998,0.47097616374700024
NGC3726,holdout,candidate,12,23.631876746434,26.32534474117,23.318880710342,-0.312996036092,1.3877787807810001e-17,0.23591443879,mid_T_3_5,inc_mid_40_60,4.0,True,True,True,-0.3129960360919988,-3.006464030827999
NGC3741,train,middle,21,7.82149838814,2.721252703199,8.083356323183,0.261857935043,5.286776307739e-18,0.530882061632,irregular_T_ge_9,inc_high_60_80,2.0,False,False,False,0.26185793504300037,5.362103619984
