u_active_window,K_projection_current_normalized,K_vertical_outer_warp_current_normalized,K_projection_source_sharpened_normalized,K_vertical_outer_warp_source_sharpened_normalized,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
0.685,0.6884451477236784,0.8237226366169883,0.4571189302160604,0.9011512047906892,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.6900000000000001,0.6963579993425068,0.8295585508969907,0.4683376347380482,0.8945416968171789,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.6950000000000001,0.7042356923550389,0.8353184912238626,0.4796408940977606,0.8877698287166094,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.7000000000000001,0.7120754369645045,0.8410011658905923,0.4910227322197871,0.8808413912468018,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.705,0.719874419687242,0.8466052895888792,0.5024769605943733,0.8737622586376805,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.71,0.7276298041076475,0.8521295833558951,0.5139971802044757,0.8665383854306865,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.715,0.7353387316522341,0.8575727745215744,0.5255767837504207,0.8591758032695439,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.72,0.7429983223828054,0.8629335966564312,0.5372089581763707,0.8516806176419879,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.725,0.750605675808742,0.8682107895198927,0.5488866875025143,0.8440590045720867,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.73,0.758157871718399,0.8734030990091466,0.5606027559666479,0.8363172072627907,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.735,0.7656519710296178,0.8785092771084938,0.5723497514785095,0.8284615326883461,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.74,0.7730850166593488,0.8835280818392036,0.5841200693899403,0.8204983481362221,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.745,0.7804540344123889,0.8884582772098613,0.5959059165836422,0.8124340776982055,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.75,0.787756033889229,0.8932986331672068,0.6076993158829805,0.804275198710321,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.755,0.7949880094130162,0.898047925547457,0.6194921107849558,0.7960282381412473,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.76,0.8021469409756279,0.9027049360281039,0.631275970518131,0.7876997689288993,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.765,0.8092297952028582,0.9072684520801895,0.6430423954269555,0.7792964062648554,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.77,0.8162335263387172,0.9117372669210428,0.6547827226835666,0.7708248038263212,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.775,0.8231550772488431,0.9161101794674831,0.6664881323277867,0.762291649955312,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.78,0.8299913804430259,0.9203859942894774,0.6781496536356506,0.7537036637847595,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.785,0.8367393591168455,0.9245635215642489,0.6897581718164252,0.7450675913112424,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.79,0.8433959282124213,0.9286415770308357,0.7013044350376649,0.736390201414051,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.795,0.8499579954982732,0.9326189819450849,0.7127790617774636,0.7276782818202999,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.8,0.8564224626682989,0.9364945630350876,0.7241725485026347,0.7189386350158095,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.805,0.8627862264598583,0.9402671524570422,0.7354752776711306,0.710178074101483,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.81,0.869046179790977,0.9439355877515473,0.7466775260565829,0.7014034185949074,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.8150000000000001,0.8751992129166558,0.9474987118003132,0.7577694733923912,0.6926214901769173,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.8200000000000001,0.8812422146042989,0.9509553727832925,0.7687412113323565,0.6838391083828627,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.8250000000000001,0.8871720733282494,0.9543044241362206,0.7795827527243719,0.6750630862383252,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.8300000000000001,0.892985678483442,0.9575447245085671,0.7902840411932379,0.6663002258390366,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.835,0.8986799216181642,0.9606751377218876,0.8008349610281749,0.6575573138747548,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.84,0.9042516976859337,0.9636945327285749,0.8112253473701329,0.6488411170968592,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.845,0.9096979063164862,0.9666017835710052,0.8214449966935019,0.6401583777294318,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.85,0.9150154531058752,0.9693957693410721,0.8314836775763254,0.6315158088235913,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.855,0.9202012509256875,0.9720753741401079,0.8413311417526158,0.62292008955486,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.86,0.9252522212513684,0.9746394870391855,0.8509771354398541,0.6143778604633411,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.865,0.9301652955096607,0.9770870020397961,0.8604114109342359,0.6058957186364887,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.87,0.9349374164451555,0.9794168180349021,0.8696237384656965,0.5974802128342619,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.875,0.9395655395059573,0.9816278387703558,0.8786039183042199,0.5891378385564529,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.88,0.9440466342484601,0.9837189728066841,0.8873417931083876,0.5808750330519875,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.885,0.9483776857612366,0.9856891334812343,0.8958272605065858,0.5726981702699986,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.89,0.9525556961080394,0.9875372388706761,0.9040502859007344,0.5646135557524761,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.895,0.9565776857899163,0.9892622117538543,0.9120009154818497,0.556627421468305,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.9,0.9604406952264383,0.9908629795749948,0.919669289446186,0.5487459205885002,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.905,0.9641417862560364,0.9923384744072493,0.9270456554001377,0.5409751222024581,False,False,mixed_kernel_sharpening_preflight_not_endpoint
