geometry_variant,stellar_psf_scenario,h2_conversion_factor,harmonic,beam_mode,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,phase_anchor_rad,phase_anchor_deg,phase_amplitude,flux_phase_anchor_deg,phase_estimator_difference_deg
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,1.3,1,1,-0.03047733281,0.92738135,0.01976125601,3,0.1661298844,9.518541227,0.3133957801,28.41433474,18.89579351
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,1.3,2,0,0.115805602,0.8801862962,0.2098071828,4,1.455036715,83.36746281,0.5141713539,85.35101944,1.983556634
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,1.3,2,1,0.1981603593,0.9998460573,0.01832053562,4,1.455036715,83.36746281,0.5141713539,85.35101944,1.983556634
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,0.7,1,0,0.03738701313,0.9718281234,0.344583252,3,0.1656274439,9.489753509,0.3136827392,28.48556606,18.99581255
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,0.7,1,1,-0.01464330846,0.9292251979,0.01987722159,3,0.1656274439,9.489753509,0.3136827392,28.48556606,18.99581255
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,0.7,2,0,0.09291201398,0.8786776518,0.2107382837,4,1.455064604,83.36906072,0.513434486,85.34550448,1.976443758
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,0.7,2,1,0.181912901,0.9998138718,0.01843731085,4,1.455064604,83.36906072,0.513434486,85.34550448,1.976443758
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,1,1,0,0.02895883312,0.9718281234,0.344583252,3,0.1656274439,9.489753509,0.3136827392,28.48556606,18.99581255
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,1,1,1,-0.02468043175,0.9292251979,0.01987722159,3,0.1656274439,9.489753509,0.3136827392,28.48556606,18.99581255
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,1,2,0,0.1074928194,0.8786776518,0.2107382837,4,1.455064604,83.36906072,0.513434486,85.34550448,1.976443758
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,1,2,1,0.192714105,0.9998138718,0.01843731085,4,1.455064604,83.36906072,0.513434486,85.34550448,1.976443758
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,1.3,1,0,0.02462889725,0.9718281234,0.344583252,3,0.1656274439,9.489753509,0.3136827392,28.48556606,18.99581255
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,1.3,1,1,-0.03095042173,0.9292251979,0.01987722159,3,0.1656274439,9.489753509,0.3136827392,28.48556606,18.99581255
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,1.3,2,0,0.1158819197,0.8786776518,0.2107382837,4,1.455064604,83.36906072,0.513434486,85.34550448,1.976443758
s4g_global_ellipticity_minus_1sigma,psf_4arcsec_control,1.3,2,1,0.199430989,0.9998138718,0.01843731085,4,1.455064604,83.36906072,0.513434486,85.34550448,1.976443758
s4g_global_ellipticity_plus_1sigma,psf_0arcsec_primary,0.7,1,0,0.04091135213,0.9978856613,0.4058724248,3,0.1596396986,9.146680974,0.2924220371,19.1596276,10.01294662
s4g_global_ellipticity_plus_1sigma,psf_0arcsec_primary,0.7,1,1,0.009177824777,0.9856432496,0.01704711588,3,0.1596396986,9.146680974,0.2924220371,19.1596276,10.01294662
s4g_global_ellipticity_plus_1sigma,psf_0arcsec_primary,0.7,2,0,0.1110159823,0.9003448406,0.1885817825,3,1.486318474,85.15977557,0.5730091616,86.9545507,1.794775133
s4g_global_ellipticity_plus_1sigma,psf_0arcsec_primary,0.7,2,1,0.1690925545,0.9812608905,0.01120650157,3,1.486318474,85.15977557,0.5730091616,86.9545507,1.794775133
