galaxy,split,n_points,rmse_tau_source_normalized_l2,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_l2_weight_intake,source_norm_minus_old_l2_intake,source_norm_minus_tpg_v6,source_norm_minus_mond,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond
NGC2976,train,27,5.495485683854795,5.11693008193194,5.678104979086942,tau_side_source_normalization_formula_conditional_not_validation,94.00551637055932,-88.51003068670452,0.3785556019228551,-0.18261929523214615,True,False,True
NGC2998,train,13,31.511275742001533,27.11504519134483,27.07347466768693,tau_side_source_normalization_formula_conditional_not_validation,27.17257534230701,4.338700399694524,4.396230550656703,4.437801074314603,False,False,False
NGC3109,train,25,9.004040379440154,9.323880057063088,5.041785679362137,tau_side_source_normalization_formula_conditional_not_validation,8.918324739341653,0.08571564009850086,-0.31983967762293375,3.9622547000780166,False,True,False
NGC3198,train,43,8.589538972633525,7.704000492040528,11.179050056995646,tau_side_source_normalization_formula_conditional_not_validation,10.31278908046636,-1.7232501078328344,0.8855384805929969,-2.5895110843621207,True,False,True
NGC3521,train,41,7.6626699300660714,7.110920589361769,6.814883835390855,tau_side_source_normalization_formula_conditional_not_validation,12.946674099741248,-5.2840041696751765,0.5517493407043021,0.8477860946752163,True,False,False
NGC3741,train,21,7.72874259097922,7.821498388140469,2.7212527031991094,tau_side_source_normalization_formula_conditional_not_validation,7.127288876389404,0.601453714589816,-0.09275579716124938,5.00748988778011,False,True,False
NGC3769,train,12,10.123778307132865,11.2553126000523,15.980528592616563,tau_side_source_normalization_formula_conditional_not_validation,10.619032226200655,-0.4952539190677907,-1.1315342929194347,-5.856750285483699,True,True,True
NGC3877,train,13,24.120790630752257,22.419419150236873,23.91875443404216,tau_side_source_normalization_formula_conditional_not_validation,27.27496303426724,-3.154172403514984,1.701371480515384,0.20203619671009676,True,False,False
NGC3893,train,10,7.114050257620094,7.421761571780209,6.883534927974165,tau_side_source_normalization_formula_conditional_not_validation,5.57534309257808,1.5387071650420143,-0.3077113141601151,0.2305153296459288,False,True,False
NGC3917,train,17,6.344424028275229,6.899654025227952,6.637702160319162,tau_side_source_normalization_formula_conditional_not_validation,8.765777766638974,-2.421353738363745,-0.5552299969527228,-0.29327813204393305,True,True,True
NGC3953,train,8,12.959103836371021,10.449994650865388,10.343662263567392,tau_side_source_normalization_formula_conditional_not_validation,11.933213714687202,1.025890121683819,2.5091091855056327,2.615441572803629,False,False,False
NGC3992,train,9,17.761796679129066,21.62991458359259,18.53931925672739,tau_side_source_normalization_formula_conditional_not_validation,21.92399499350226,-4.162198314373192,-3.8681179044635243,-0.7775225775983223,True,True,True
NGC4010,train,12,9.932460406363989,10.799199499954586,11.798351296716529,tau_side_source_normalization_formula_conditional_not_validation,10.392179605612313,-0.4597191992483243,-0.8667390935905974,-1.8658908903525404,True,True,True
NGC4051,train,7,28.466324311962765,23.162699244292835,25.364933901873997,tau_side_source_normalization_formula_conditional_not_validation,31.132120126060247,-2.665795814097482,5.30362506766993,3.1013904100887686,True,False,False
NGC4068,train,6,8.573124294138381,9.789559083112076,11.389697947293712,tau_side_source_normalization_formula_conditional_not_validation,9.774775793779272,-1.2016514996408905,-1.2164347889736948,-2.8165736531553307,True,True,True
NGC4085,train,7,23.741881611012484,21.45520895763762,23.247876990413115,tau_side_source_normalization_formula_conditional_not_validation,38.46957909704749,-14.727697486035009,2.2866726533748647,0.49400462059936956,True,False,False
NGC4100,train,24,9.799859959410952,10.799906207475212,9.873831807311648,tau_side_source_normalization_formula_conditional_not_validation,9.678878041794286,0.12098191761666577,-1.00004624806426,-0.07397184790069566,False,True,True
NGC4138,train,7,12.918201669881583,9.51519890085038,10.185247994852606,tau_side_source_normalization_formula_conditional_not_validation,12.054569256709662,0.8636324131719206,3.403002769031202,2.732953675028977,False,False,False
NGC4157,train,17,25.532379733063955,20.216389281228402,23.480615178680974,tau_side_source_normalization_formula_conditional_not_validation,21.594993422966017,3.9373863100979385,5.315990451835553,2.0517645543829808,False,False,False
NGC4217,train,19,57.96890166557413,52.35219166022327,55.35556407681141,tau_side_source_normalization_formula_conditional_not_validation,53.12396961541972,4.844932050154412,5.6167100053508605,2.613337588762718,False,False,False
NGC4559,train,32,19.459496772054983,15.385306161864646,18.985298676354127,tau_side_source_normalization_formula_conditional_not_validation,21.408523713835457,-1.949026941780474,4.074190610190337,0.47419809570085647,True,False,False
NGC5005,train,18,12.889270640147767,12.481746631320759,13.97796581666026,tau_side_source_normalization_formula_conditional_not_validation,14.231826478699654,-1.3425558385518865,0.4075240088270089,-1.088695176512493,True,False,True
NGC5033,train,22,14.258779297036627,15.138788047327509,15.295974840608453,tau_side_source_normalization_formula_conditional_not_validation,14.93120795827136,-0.6724286612347328,-0.880008750290882,-1.0371955435718263,True,True,True
