galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
UGC12506,holdout,K_exponential_disk,31,40.697842583379504,38.12269540109571,40.43209398645167,40.289710524886964,K_compact_finite,3,38.65261682642269,39.56547746372001,40.43209398645167,42.65103728451819,0.14238346156470527,-0.2657485969278355,2.3093985853559573,False,True,False
UGCA444,holdout,K_scale_tail_spiral,36,3.0580094444767805,4.92757139254757,4.548133548884709,3.3846396329440993,K_thick_flared,4,4.000834189386666,4.548133548884709,3.2994611130884373,2.8536235963571963,1.16349391594061,1.4901241044079288,-0.3794378436628607,False,False,True
D512-2,train,K_scale_tail_spiral,4,2.5139498188497846,6.561883790113319,4.175018287146703,2.632810960485827,K_thick_flared,4,3.9703759417208078,4.175018287146703,2.8494151378729775,1.0786418018636954,1.5422073266608765,1.6610684682969188,-2.3868655029666153,False,False,True
D564-8,train,K_scale_tail_spiral,6,3.399294537690645,7.16409055590109,4.795894811702755,3.6690428814447458,K_thick_flared,3,5.164443550859573,4.795894811702755,3.679646925798719,2.163038167675944,1.1268519302580096,1.3966002740121102,-2.368195744198335,False,False,True
D631-7,train,K_scale_tail_spiral,16,10.35809255392164,10.521817679771978,10.57610734773814,10.760256281226559,K_thick_flared,3,11.775703018879272,10.57610734773814,10.44540464253946,10.059661182260944,-0.18414893348841765,0.21801479381650068,0.05428966796616308,True,False,False
DDO064,train,K_scale_tail_spiral,14,2.7332917850477236,3.548332793859171,3.3683929620974573,3.086492566600997,K_exponential_disk,3,2.9013771758399733,3.3683929620974573,2.7561134206323743,3.6019871033306425,0.2819003954964603,0.6351011770497337,-0.1799398317617138,False,False,True
DDO154,train,K_scale_tail_spiral,12,3.544983778635305,4.451832612674567,3.1601280670233582,4.4002992959203295,K_scale_tail_spiral,1,4.573373889789727,3.1601280670233582,3.4484370428764524,5.1790869550948075,-1.2401712288969713,-0.38485571161194665,-1.2917045456512084,True,True,True
DDO161,train,K_scale_tail_spiral,31,13.579219703882607,18.569662825271475,15.301692927610613,13.37818388759949,K_thick_flared,3,15.401539167753194,15.301692927610613,13.896366461241541,10.83664603380374,1.9235090400111226,1.7224732237280058,-3.267969897660862,False,False,True
DDO168,train,K_scale_tail_spiral,10,6.727638673752554,7.879974549733663,7.797179639614104,6.929667116745318,K_thick_flared,3,8.392141799153888,7.797179639614104,6.935677189717615,5.4611823613644495,0.8675125228687861,1.0695409658615498,-0.08279491011955908,False,False,True
DDO170,train,K_scale_tail_spiral,8,7.480201139884626,14.370201282342645,9.351073588755304,7.182036592082578,K_thick_flared,4,8.897747000448035,9.351073588755304,7.819422446603207,4.828940329196493,2.169036996672726,1.8708724488706778,-5.0191276935873415,False,False,True
