galaxy,split,formula_family,n_points,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
DDO170,train,K_scale_tail_spiral,8,1.9992525740114213,57.51270826991013,27.33402059077279,7.480201139884626,14.370201282342645,-55.513455695898706,-25.33476801676137,-5.480948565873204,-12.370948708331223,115.94247794763098,1.9992525740114213,26.37751396640719,30.21813289569223
ESO079-G014,train,K_thick_flared,15,23.38704303831549,41.23018833614666,55.74658403541774,12.522654026496923,11.397542407404476,-17.84314529783117,-32.35954099710225,10.864389011818567,11.989500630911014,60.40212370523804,35.2812895767293,28.00715172647263,23.38704303831549
ESO444-G084,train,K_scale_tail_spiral,7,3.4177196820856044,94.11291099036434,33.349804034715035,13.917114692092932,10.513209179623457,-90.69519130827874,-29.93208435262943,-10.499395010007328,-7.095489497537853,261.01534405886144,3.4177196820856044,12.047205176236272,9.276183735995291
ESO563-G021,train,K_thick_flared,30,63.5501377887809,91.28872103617164,117.979670125645,47.72714916375959,44.48667176928297,-27.738583247390736,-54.4295323368641,15.82298862502131,19.06346601949793,93.39181704296332,107.09695351110047,73.3773925544511,63.5501377887809
F563-V1,train,K_scale_tail_spiral,6,31.261912366323273,90.34079788963514,4.948718563402544,23.66949222725619,29.338957960123544,-59.07888552331187,26.31319380292073,7.592420139067084,1.9229544061997288,182.16551214248642,31.261912366323273,42.192191831354144,46.66468969506483
F563-V2,train,K_scale_tail_spiral,10,27.508677184443076,51.46811343604364,59.03782298606215,26.238947803350438,23.428832485173935,-23.95943625160056,-31.529145801619077,1.2697293810926382,4.079844699269142,93.72095597265502,27.508677184443076,32.61578970768765,28.067594627788246
F565-V2,train,K_scale_tail_spiral,7,11.441141451374472,53.185406619567715,41.087913426981345,11.960771688430881,6.916649069723871,-41.744265168193245,-29.646771975606875,-0.5196302370564094,4.524492381650601,137.0734793931921,11.441141451374472,11.229736187939261,11.253004277571783
F567-2,train,K_scale_tail_spiral,5,15.37268054412554,75.04674872980709,20.874317404506115,14.016635993218337,19.406231954265397,-59.67406818568155,-5.501636860380575,1.3560445509072032,-4.033551410139857,146.82429413055206,15.37268054412554,34.40916247064015,43.90678958822905
F568-3,train,K_exponential_disk,18,19.64157548503524,48.203398648463065,44.56354544414182,9.11490703879206,7.976415983117765,-28.561823163427825,-24.921969959106583,10.52666844624318,11.665159501917476,112.63050064708007,13.657841452432848,19.64157548503524,18.321853845876266
F568-V1,train,K_exponential_disk,15,18.582318285929066,41.799723982503544,65.51997770587302,29.877210479611758,25.762065140172663,-23.217405696574478,-46.937659419943955,-11.294892193682692,-7.1797468542435965,81.88213552325554,31.4826988165286,18.582318285929066,12.034337607726494
F571-8,train,K_thick_flared,13,31.22380395447149,56.308401622157504,55.62174794317093,30.175376192122503,28.290592925853005,-25.084597667686015,-24.397943988699442,1.048427762348986,2.9332110286184836,102.73105398338306,31.94404914719407,34.25010173589539,31.22380395447149
F571-V1,train,K_scale_tail_spiral,7,11.364802738049857,44.02622287184753,39.794929421262424,3.5735232878164758,6.360130039546406,-32.66142013379768,-28.430126683212567,7.791279450233381,5.004672698503451,92.05645339276617,11.364802738049857,17.763114424787794,22.259100797988626
F574-1,train,K_exponential_disk,14,4.075340905144984,38.76207358237749,48.52533758837649,11.820788616096635,8.776912560877792,-34.686732677232506,-44.449996683231504,-7.745447710951652,-4.701571655732808,87.728035338328,18.201919078499834,4.075340905144984,10.356266330304651
F574-2,train,K_scale_tail_spiral,5,32.14310584915766,90.16730838985755,2.7676256767833216,32.6388165436646,38.74115873241575,-58.024202540699896,29.375480172374335,-0.49571069450694694,-6.598052883258092,151.3717823689194,32.14310584915766,55.25467570277009,63.875467097883146
