amplitude_policy,galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
family_unconstrained,UGCA444,holdout,K_scale_tail_spiral,36,3.0580094444767805,4.92757139254757,7.622534837373528,61.90607065495512,K_thick_flared,3,180.312308284907,7.622534837373528,2.738671476256528,2.667232203701805,-54.283535817581594,4.564525392896748,2.694963444825958,True,False,False
family_unconstrained,D512-2,train,K_scale_tail_spiral,4,2.5139498188497846,6.561883790113319,6.808960055926971,44.71024246660536,K_thick_flared,3,131.15989604218174,6.808960055926971,1.6579467318943215,1.3128846257400082,-37.901282410678384,4.295010237077187,0.24707626581365272,True,False,False
family_unconstrained,D564-8,train,K_scale_tail_spiral,6,3.399294537690645,7.16409055590109,9.336622485938781,56.745896928522,K_thick_flared,3,164.64090727905867,9.336622485938781,2.9433226402360138,2.653460866271324,-47.40927444258322,5.937327948248136,2.1725319300376906,True,False,False
family_unconstrained,D631-7,train,K_scale_tail_spiral,16,10.35809255392164,10.521817679771978,10.943013951197013,35.97973602712995,K_thick_flared,3,86.59661127999694,10.943013951197013,10.824790371732787,10.517806429660139,-25.03672207593294,0.5849213972753731,0.42119627142503546,True,False,False
family_unconstrained,DDO064,train,K_scale_tail_spiral,14,2.7332917850477236,3.548332793859171,5.443535706033468,58.48545407610168,K_thick_flared,3,168.86062230026965,5.443535706033468,3.6917984692128205,2.9039414588225774,-53.04191837006822,2.7102439209857443,1.8952029121742968,True,False,False
family_unconstrained,DDO154,train,K_scale_tail_spiral,12,3.544983778635305,4.451832612674567,4.184305567259078,37.056824266363506,K_scale_tail_spiral,1,100.41279828685026,4.184305567259078,6.294812002196736,4.462862510043515,-32.872518699104425,0.6393217886237732,-0.26752704541548855,True,False,True
family_unconstrained,DDO161,train,K_scale_tail_spiral,31,13.579219703882607,18.569662825271475,15.881667823431446,27.337018590663728,K_exponential_disk,3,60.165341052704704,15.881667823431446,9.714650953157456,12.131063766129017,-11.455350767232282,2.3024481195488384,-2.6879950018400294,True,False,True
family_unconstrained,DDO168,train,K_scale_tail_spiral,10,6.727638673752554,7.879974549733663,8.993591610956091,45.39270358898074,K_exponential_disk,3,123.95226868626911,8.993591610956091,5.837267301925055,6.388574778748064,-36.39911197802465,2.2659529372035374,1.1136170612224285,True,False,False
family_unconstrained,DDO170,train,K_scale_tail_spiral,8,7.480201139884626,14.370201282342645,10.159584119881025,21.99332072543758,K_exponential_disk,3,57.51849002945726,10.159584119881025,2.994603926554938,5.466868220300547,-11.833736605556556,2.679382979996399,-4.21061716246162,True,False,True
family_unconstrained,ESO079-G014,train,K_thick_flared,15,12.522654026496923,11.397542407404476,13.175386122165875,17.133691319916323,K_scale_tail_spiral,2,25.75451303602627,11.745255133211652,13.901305790511042,13.175386122165875,-3.958305197750448,0.6527320956689522,1.7778437147613992,True,False,False
family_unconstrained,ESO444-G084,train,K_scale_tail_spiral,7,13.917114692092932,10.513209179623457,9.653687321801225,52.421540037362,K_scale_tail_spiral,1,126.7131489091525,9.653687321801225,15.849842941114677,14.701628261818827,-42.76785271556078,-4.263427370291707,-0.8595218578222319,True,True,True
family_unconstrained,ESO563-G021,train,K_thick_flared,30,47.72714916375959,44.48667176928297,49.05425860593719,46.80070434080499,K_compact_finite,3,42.79768067708103,47.114838687366905,50.48959365796703,49.05425860593719,2.253554265132202,1.3271094421776013,4.567586836654222,False,False,False
family_unconstrained,F563-V1,train,K_scale_tail_spiral,6,23.66949222725619,29.338957960123544,26.964419023751876,46.669400322180884,K_exponential_disk,3,98.91572056208932,26.964419023751876,19.261744797899087,21.830735606554263,-19.704981298429008,3.2949267964956874,-2.3745389363716676,True,False,True
family_unconstrained,F563-V2,train,K_scale_tail_spiral,10,26.238947803350438,23.428832485173935,23.80775763175782,28.420937595113298,K_scale_tail_spiral,1,29.722819895140628,23.80775763175782,28.382965301524813,27.157027588674456,-4.613179963355478,-2.4311901715926183,0.3789251465838852,True,True,False
family_unconstrained,F565-V2,train,K_scale_tail_spiral,7,11.960771688430881,6.916649069723871,9.108198192477284,29.743010836640575,K_scale_tail_spiral,1,59.06725048412221,9.108198192477284,16.450857714394015,13.710924311405499,-20.63481264416329,-2.8525734959535978,2.191549122753413,True,True,False
family_unconstrained,F567-2,train,K_scale_tail_spiral,5,14.016635993218337,19.406231954265397,16.22869903613856,32.73278143190438,K_exponential_disk,3,74.7894401860748,16.22869903613856,11.024337534941019,12.384566574697319,-16.504082395765817,2.2120630429202244,-3.177532918126836,True,False,True
family_unconstrained,F568-3,train,K_exponential_disk,18,9.11490703879206,7.976415983117765,11.251672319569533,22.374412576539147,K_scale_tail_spiral,3,49.22521553631487,7.860002856544251,11.251672319569533,10.03801933675833,-11.122740256969614,2.136765280777473,3.2752563364517675,True,False,False
family_unconstrained,F568-V1,train,K_exponential_disk,15,29.877210479611758,25.762065140172663,33.68872136932015,27.34618158541674,K_compact_finite,4,22.977818423353682,27.488531570335322,33.68872136932015,31.572194762561207,6.342539783903408,3.8115108897083907,7.926656229147486,False,False,False
family_unconstrained,F571-8,train,K_thick_flared,13,30.175376192122503,28.290592925853005,30.469049603845086,36.6094138729954,K_scale_tail_spiral,2,49.61901242354519,29.46517560068289,30.7440535947581,30.469049603845086,-6.140364269150311,0.2936734117225832,2.178456677992081,True,False,False
family_unconstrained,F571-V1,train,K_scale_tail_spiral,7,3.5735232878164758,6.360130039546406,3.7041860848067847,17.93347554651218,K_scale_tail_spiral,1,42.03448484872583,3.7041860848067847,7.07769303185887,4.68824875895184,-14.229289461705395,0.13066279699030892,-2.6559439547396213,True,False,True
family_unconstrained,F574-1,train,K_exponential_disk,14,11.820788616096635,8.776912560877792,15.653160782256908,19.507507933746982,K_scale_tail_spiral,3,35.04763660911316,9.943790587801379,15.653160782256908,13.531096604326411,-3.8543471514900745,3.8323721661602725,6.876248221379116,True,False,False
family_unconstrained,F574-2,train,K_scale_tail_spiral,5,32.6388165436646,38.74115873241575,35.20922291232126,48.41021108051484,K_exponential_disk,3,87.30266245597151,35.20922291232126,27.59855615227147,30.32941463330155,-13.200988168193582,2.5704063686566556,-3.531935820094489,True,False,True
family_unconstrained,F579-V1,train,K_thick_flared,14,19.63941142103888,18.38890176475787,20.704633861715262,24.88033782205599,K_scale_tail_spiral,2,34.18117288836033,18.3734345340946,22.086406043713033,20.704633861715262,-4.175703960340726,1.0652224406763828,2.315732096957394,True,False,False
family_unconstrained,F583-1,train,K_scale_tail_spiral,25,13.297286773674033,10.320140273858495,10.359993146223937,33.079785199238074,K_scale_tail_spiral,1,67.49041073499095,10.359993146223937,16.891429739319495,14.857515123403779,-22.71979205301414,-2.937293627450096,0.03985287236544188,True,True,False
family_unconstrained,F583-4,train,K_thick_flared,12,2.089348476842753,5.381087823103697,1.8163548767334206,26.67131931553126,K_thick_flared,1,72.8742846072619,4.070396257323441,3.069277082008441,1.8163548767334206,-24.85496443879784,-0.2729936001093325,-3.5647329463702766,True,True,True
family_unconstrained,KK98-251,train,K_scale_tail_spiral,15,8.181219377823203,10.870651981388162,13.610025806267119,65.54286444110075,K_exponential_disk,3,183.28835215300754,13.610025806267119,5.992935139188714,7.3473060311059974,-51.93283863483363,5.428806428443917,2.7393738248789568,True,False,False
family_unconstrained,NGC0055,train,K_scale_tail_spiral,21,13.646013162608714,17.518196226309797,15.50707161929844,24.46296030576794,K_exponential_disk,3,51.40219728558121,15.50707161929844,9.845703903937551,12.140979727785073,-8.9558886864695,1.861058456689726,-2.0111246070113573,True,False,True
family_unconstrained,NGC0100,train,K_exponential_disk,21,7.537919334963079,6.061732881040405,8.856389899016648,24.12777903871567,K_scale_tail_spiral,3,57.189436731158814,7.095648589444358,8.856389899016648,8.09825179554383,-15.271389139699021,1.3184705640535688,2.7946570179762427,True,False,False
family_unconstrained,NGC0247,train,K_exponential_disk,26,3.866312004062215,5.475417572666649,6.561795274843639,15.203196129135998,K_scale_tail_spiral,3,37.06192318765612,3.891023604550918,6.561795274843639,4.65664159520096,-8.64140085429236,2.6954832707814234,1.0863777021769891,True,False,False
family_unconstrained,NGC0289,train,K_thick_flared,28,13.44827134683854,23.595309185371484,11.257300859223461,13.682647846404995,K_exponential_disk,2,17.337093619667037,14.187674267165931,9.523175652382012,11.257300859223461,-2.425346987181534,-2.190970487615079,-12.338008326148023,True,True,True
family_unconstrained,NGC0300,train,K_exponential_disk,25,9.83189803567648,5.607034629923943,13.615448943697162,20.000053097718364,K_scale_tail_spiral,3,40.652091668474206,7.848918182292735,13.615448943697162,11.499149442388156,-6.384604154021202,3.7835509080206826,8.008414313773219,True,False,False
family_unconstrained,NGC0801,train,K_thick_flared,13,31.348134413644825,35.306528941160416,30.338225611407932,32.26472591754318,K_exponential_disk,2,35.46886061395257,31.975068211626063,29.35024892705091,30.338225611407932,-1.9265003061352495,-1.0099088022368932,-4.968303329752484,True,True,True
family_unconstrained,NGC0891,train,K_compact_finite,18,29.637636010909365,32.67571266789567,36.117714962740685,29.27803901501652,K_exponential_disk,4,36.117714962740685,30.02843006879364,28.645013847451914,29.160673128804007,6.839675947724164,6.48007895183132,3.442002294845018,False,False,False
family_unconstrained,NGC1003,train,K_scale_tail_spiral,36,11.228797331872782,8.233924992844548,10.239711077957573,15.531127685525385,K_scale_tail_spiral,1,15.90296903913921,10.239711077957573,17.116427198316828,13.573986819120119,-5.291416607567813,-0.9890862539152092,2.0057860851130247,True,True,False
family_unconstrained,NGC1090,train,K_thick_flared,24,15.259685358845738,18.764009439287914,13.765926902112863,17.684768458108984,K_exponential_disk,2,24.762662346218328,16.022194909810633,12.269448118297996,13.765926902112863,-3.9188415559961207,-1.4937584567328752,-4.998082537175051,True,True,True
family_unconstrained,NGC1705,train,K_scale_tail_spiral,14,20.59864390810048,16.95201559286103,17.353386930958422,40.884651131584405,K_scale_tail_spiral,1,77.24007777084682,17.353386930958422,23.54160612610431,21.872269497802087,-23.531264200625984,-3.245256977142059,0.4013713380973911,True,True,False
family_unconstrained,NGC2366,train,K_scale_tail_spiral,26,8.175530891777854,11.387781875806942,11.179048179418931,37.91129702949528,K_exponential_disk,3,100.73572426219579,11.179048179418931,5.796668737637561,7.201498088652501,-26.73224885007635,3.0035172876410776,-0.20873369638801087,True,False,True
family_unconstrained,NGC2403,train,K_exponential_disk,73,9.860995949284607,6.239762201686606,10.644397151446181,20.393652469070723,K_scale_tail_spiral,3,42.54767684317661,8.411832353703565,10.644397151446181,10.221448210331992,-9.749255317624542,0.7834012021615742,4.404634949759576,True,False,False
family_unconstrained,NGC2841,train,K_compact_finite,50,59.09007494417434,53.02346081870857,54.87724264138518,59.83992329998708,K_compact_finite,1,54.87724264138518,58.28235405110214,61.17369303961691,60.063722809242186,-4.962680658601897,-4.21283230278916,1.8537818226766092,True,True,False
family_unconstrained,NGC2903,train,K_thick_flared,34,24.362146162225375,24.96300377208502,24.47346324263098,25.253203135481424,K_scale_tail_spiral,2,26.881021022956993,24.272898417962764,24.605689965524515,24.47346324263098,-0.7797398928504435,0.1113170804056054,-0.4895405294540396,True,False,True
family_unconstrained,NGC2915,train,K_scale_tail_spiral,30,26.00786566771677,20.629433034344654,23.036865971923184,34.06954696672991,K_scale_tail_spiral,1,43.77180789168901,23.036865971923184,30.54052035517563,27.89631265332508,-11.032680994806725,-2.970999695793587,2.4074329375785304,True,True,False
family_unconstrained,NGC2955,train,K_compact_finite,24,19.782113998497127,23.273161362253415,24.641523770508012,19.480887536567796,K_exponential_disk,4,24.641523770508012,20.33458377501467,18.80621135174853,19.301867482940185,5.160636233940217,4.859409772010885,1.3683624082545975,False,False,False
