galaxy,split,formula_family,n_points,rmse_matched,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
UGC00191,train,K_scale_tail_spiral,9,16.054902363675485,-4.875406811995905,-15.869773840395634,8.95445472601568,8.751361213010682,24.887316925677556,16.054902363675485,17.901417511464633,20.00219308987198
UGC00634,train,K_scale_tail_spiral,4,35.924678146965,-6.111524275269019,-19.354852828297304,27.74540419835214,33.53413572445581,44.133075559793056,35.924678146965,38.03809287398487,43.93743883292413
UGC01230,train,K_scale_tail_spiral,11,34.631335084392106,-4.537763179339208,-18.88892193860041,18.962943688158983,14.843882575788243,44.34385706234408,34.631335084392106,34.936663042127904,38.22677468672197
UGC01281,train,K_exponential_disk,23,13.216331794312485,-1.7703211607537792,-9.846349860417096,10.342677875919602,10.62555330148441,16.396037319958804,13.116537333049957,13.216331794312485,15.44738421219003
UGC02455,train,K_scale_tail_spiral,8,40.68744254897857,7.8252869775619445,23.036984159780115,0.5618158768897956,-0.4644212289711547,30.219772192105843,40.68744254897857,37.13798041854294,31.228714103601078
UGC02487,train,K_compact_finite,17,135.75836662401042,28.414684248186532,-32.10873711120112,68.13425491135457,74.93011726124709,135.75836662401042,98.46727355438584,104.7396170197363,118.82415655334952
UGC02885,train,K_compact_finite,19,77.66280428352385,24.806800578585666,-37.16410372869343,59.35892099107066,62.53167271185851,77.66280428352385,43.85565847101453,50.15695255119822,64.55540009260181
UGC02916,train,K_compact_finite,43,34.32481498725337,-8.778433623572354,-6.627553143247852,7.004879714526272,4.014098281198354,34.32481498725337,49.65018710297179,47.057471778115534,32.60208695138984
UGC02953,train,K_compact_finite,115,59.84550883851532,13.178599114834142,-26.561950740705278,27.095318373149077,30.91467537352444,59.84550883851532,29.175660496797757,57.4499132996927,53.37515537455309
UGC03205,train,K_compact_finite,48,48.55491253925757,15.880647430830564,-23.409945923171918,25.516673106991455,28.542542542541522,48.55491253925757,26.598704683520534,36.656045114216475,34.76804552754402
UGC03546,train,K_compact_finite,30,36.58769731364245,-14.962580214902545,-15.36560960113723,5.443017886522597,3.5943462853919286,36.58769731364245,53.21180538040278,56.21693934023915,45.22208786499305
UGC04278,train,K_exponential_disk,25,22.454480312530183,-1.7386879459488043,-13.671046670943813,12.058786013800706,14.837430251310531,26.037403504216236,21.31651124661969,22.454480312530183,25.225590024601033
UGC04325,train,K_scale_tail_spiral,8,29.905608170765188,-4.305406437106459,-16.257250635459247,11.98494043533142,13.4755611719103,36.151920300000064,29.905608170765188,31.45020552479158,35.030917998823305
UGC04483,train,K_scale_tail_spiral,8,3.187617319921915,-1.145313002419341,-5.195038673014618,-0.611088660381153,-2.096634336312131,4.9409845820850045,3.187617319921915,3.396386814693133,4.66141957024563
UGC05005,train,K_scale_tail_spiral,11,17.392859439418718,-5.150453242788004,-22.322918422513137,8.725592832716975,2.0557916054713186,28.53993806822522,17.392859439418718,17.61014167374321,21.479858304651735
UGC05253,train,K_compact_finite,73,31.190237713496344,-20.910062133985114,-20.713066770508384,16.131064983464835,15.38920915745032,31.190237713496344,47.67960528105773,61.36727389032402,47.254020371062616
UGC05721,train,K_scale_tail_spiral,23,29.41726676391533,-3.2010763517474814,-14.003859837966658,10.51825486285368,12.735646453553073,36.06037441558353,29.41726676391533,29.40268068477799,32.39197424662692
UGC05750,train,K_exponential_disk,11,11.44685981261729,-3.6833178889400298,-16.063210726285178,2.1445461002033017,-3.98472964519844,18.607106054327158,12.4989044673523,11.44685981261729,14.284522582992501
UGC05764,train,K_scale_tail_spiral,10,21.84301131685452,-1.7764092566825909,-7.783841830104905,11.150962309631439,13.37025640817693,24.30257049089352,21.84301131685452,22.121722256273042,24.43396897344477
UGC05918,train,K_scale_tail_spiral,8,14.774207817088659,-1.7467482943459522,-7.035338871244658,10.922116542415267,10.430860739461743,17.2240655928904,14.774207817088659,15.299581878622593,17.03922086279084
