galaxy,proxy_formula_family_for_scope,sparc_distance_mpc,sparc_rdisk_kpc,sparc_inclination_deg,s4g_match_status,s4g_name,s4g_disk_scale_arcsec,scale_radius_kpc,scale_radius_source,s4g_bar_radius_arcsec,bar_radius_kpc,s4g_model_components,s4g_model_quality_values,candidate_observable_status,observable_provenance,residual_blind_certification,claim_boundary
UGC09133,K_compact_finite,57.1,6.97,53.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC09992,K_scale_tail_spiral,10.7,1.04,30.0,S4G_MATCHED,UGC09992,15.279999732971191,0.7926502176461918,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC10310,K_scale_tail_spiral,15.2,1.8,34.0,S4G_MATCHED,UGC10310,30.040000915527344,2.213696041092845,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC11455,K_exponential_disk,78.6,5.93,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC11557,K_exponential_disk,24.2,2.75,30.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC11820,K_scale_tail_spiral,18.1,2.08,45.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC12632,K_scale_tail_spiral,9.77,2.42,46.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC12732,K_scale_tail_spiral,13.2,1.98,39.0,S4G_MATCHED,UGC12732,37.349998474121094,2.390226067720643,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,44.25,2.831794051341721,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGCA281,K_scale_tail_spiral,5.68,1.72,67.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGCA442,K_scale_tail_spiral,4.35,1.18,64.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
