Name,xc,yc,PA,Ell,Rmin,Rmax,Flag,S4G,Simbad,NED,Nf,Comm,Tmag,q,PA1,n,Re,_RA,_DE
PGC043345,288.97,794.9,69.2,0.206,105,150,ok,S4G,Simbad,NED,2,,12.4,0.739,72.36,1.074,55.98,192.34667,-10.11889
PGC043458,501.14,787.91,175.8,0.576,97,112,u,S4G,Simbad,NED,2,,12.58,0.313,175.19,2.593,74.87,192.62256,-10.85441
PGC043679,491.57,788.85,66.9,0.873,45,52,z,S4G,Simbad,NED,1,,13.38,0.108,66.45,1.263,35.79,193.11194,-9.754
PGC043851,497.57,796.6,140.4,0.596,60,67,u,S4G,Simbad,NED,1,,14.48,0.48,145.6,0.825,43.43,193.48667,-12.10417
PGC043970,274.94,796.02,36.0,0.811,37,52,z,S4G,Simbad,NED,2,,14.46,0.182,34.91,1.405,26.51,193.71278,-11.89205
PGC044157,505.59,789.18,77.7,0.773,26,33,u,S4G,Simbad,NED,1,,14.64,0.216,75.48,1.552,19.0,194.14444,-13.39365
PGC044278,469.37,785.61,62.3,0.368,45,56,u,S4G,Simbad,NED,0,No fit,,,,,,194.31602,-5.34625
PGC044358,805.99,922.09,117.7,0.856,52,60,ok,S4G,Simbad,NED,1,,12.43,0.108,117.72,1.579,35.47,194.44511,-9.63378
PGC044506,275.21,788.3,98.8,0.884,22,30,ok,S4G,Simbad,NED,2,,14.31,0.139,99.67,0.862,36.6,194.70333,-6.11267
PGC044532,547.17,370.73,22.9,0.595,82,105,ok,S4G,Simbad,NED,1,,13.28,0.37,22.87,0.819,61.37,194.76667,34.88
PGC044735,497.88,788.31,104.1,0.493,52,63,ok,S4G,Simbad,NED,1,,13.78,0.679,94.1,1.126,23.46,195.07167,-12.34639
PGC044906,284.66,789.28,170.2,0.415,41,56,u,S4G,Simbad,NED,1,,14.38,0.408,148.07,1.965,45.33,195.38833,-4.77528
PGC044952,275.6,800.16,165.9,0.419,33,48,ok,S4G,Simbad,NED,1,,13.42,0.559,168.81,1.005,16.78,195.51387,-14.88294
PGC044954,279.06,796.88,37.5,0.619,45,52,u,S4G,Simbad,NED,2,,14.12,0.406,31.25,1.415,14.25,195.51201,-10.41301
PGC044982,291.4,791.4,32.2,0.39,36,43,ok,S4G,Simbad,NED,1,,14.8,0.583,35.46,0.46,25.64,195.55996,-17.23753
PGC045084,677.33,907.4,117.5,0.711,127,138,z,S4G,Simbad,NED,1,,13.38,0.292,117.63,1.157,71.77,195.81973,-17.42303
PGC045195,631.11,1112.98,39.6,0.334,60,90,ok,S4G,Simbad,NED,2,,12.82,0.716,51.03,1.089,68.69,196.12997,-3.57241
PGC045257,277.17,792.68,128.3,0.533,37,60,ok,S4G,Simbad,NED,1,,14.36,0.472,128.62,2.021,35.78,196.31487,-16.88822
PGC045359,284.72,793.92,112.1,0.35,30,37,u,S4G,Simbad,NED,1,,15.01,0.664,116.4,1.028,36.98,196.57625,-17.51472
PGC045650,268.72,804.32,90.0,0.702,28,35,u,S4G,Simbad,NED,2,,11.66,0.274,89.44,6.534,28.52,197.43367,-16.60216
PGC045652,471.94,1198.68,179.3,0.529,6,75,u,S4G,Simbad,NED,0,No fit,,,,,,197.45,-10.32333
PGC045824,276.35,796.16,74.1,0.355,30,35,u,S4G,Simbad,NED,2,,14.3,0.513,71.61,1.592,38.11,197.9925,-12.06417
PGC045877,277.36,792.78,126.7,0.595,82,112,ok,S4G,Simbad,NED,2,,11.19,0.304,126.69,1.69,27.83,198.14765,-17.54239
PGC045958,313.15,837.66,35.9,0.163,30,45,u,S4G,Simbad,NED,0,No fit,,,,,,198.39305,-15.43206
PGC046261,275.72,783.05,170.3,0.863,26,33,z,S4G,Simbad,NED,2,,13.14,0.112,170.99,0.898,27.76,199.2755,-16.25217
PGC046382,288.89,797.04,120.7,0.067,37,42,ok,S4G,Simbad,NED,2,,13.88,0.867,61.81,0.649,29.51,199.67125,-8.44639
PGC047721,278.11,794.41,121.0,0.424,60,90,ok,S4G,Simbad,NED,3,,11.24,0.505,118.84,6.036,70.36,203.30801,-16.12129
PGC047846,286.7,807.37,160.1,0.11,48,56,ok,S4G,Simbad,NED,1,,14.16,0.788,146.11,0.932,35.6,203.66542,-12.33056
PGC048087,278.21,795.08,125.2,0.051,41,52,ok,S4G,Simbad,NED,3,,13.3,0.978,14.95,1.811,35.43,204.2704,-11.8299
PGC048179,279.89,792.98,68.9,0.074,52,97,ok,S4G,Simbad,NED,2,,12.25,0.773,178.81,1.005,37.36,204.54292,-9.80139
PGC049521,278.19,793.98,152.1,0.524,45,48,ok,S4G,Simbad,NED,1,,14.9,0.549,162.15,0.915,21.26,208.93954,-6.00492
