galaxy,curve_type,r03_kpc,v03_km_s,radius_kpc,velocity_km_s,velocity_error_km_s,endpoint_access
IC_10,Data,0.274228,73.275475,0.30000049589600003,25.50001185095,6.420030742125,False
IC_10,Data,0.274228,73.275475,0.320000492392,26.779987848250002,5.919998900725,False
IC_10,Data,0.274228,73.275475,0.34000048888800005,26.929982745575,6.479970080675,False
IC_10,Data,0.274228,73.275475,0.36000048538400004,26.549976132225,6.130006412075,False
IC_10,Data,0.274228,73.275475,0.38000048188,24.250005522924997,6.870015434100001,False
IC_10,Data,0.274228,73.275475,0.40000075260400003,26.289994746925,7.610024456125,False
IC_10,Data,0.274228,73.275475,0.4200007491,28.090006790300002,8.1400259668,False
IC_10,Data,0.274228,73.275475,0.440000745596,29.799963274899998,8.3100250688,False
IC_10,Data,0.274228,73.275475,0.46000074209200004,31.710035081725,8.160030171475,False
IC_10,Data,0.274228,73.275475,0.480000738588,33.1800143857,7.530007637424999,False
IC_10,Data,0.274228,73.275475,0.500000735084,33.620033613075,7.360008535425,False
IC_10,Data,0.274228,73.275475,0.52000073158,34.92001381505,6.40999200205,False
IC_10,Data,0.274228,73.275475,0.540001002304,35.349994302350005,6.83000702475,False
IC_10,Model,0.53839,36.073753,0.05999979677,5.016885050969001,12.710009689502,False
IC_10,Model,0.53839,36.073753,0.07999990849000001,6.669495823405001,10.700016246095002,False
IC_10,Model,0.53839,36.073753,0.10000002021,8.305693038226002,9.850010404156002,False
IC_10,Model,0.53839,36.073753,0.12000013193,9.921761098873,9.729993027925001,False
IC_10,Model,0.53839,36.073753,0.13999970526,11.514417293823001,7.85000939033,False
IC_10,Model,0.53839,36.073753,0.15999981698000001,13.080595354071002,7.829988457415,False
IC_10,Model,0.53839,36.073753,0.17999992870000003,14.617589748142002,9.199997448849,False
IC_10,Model,0.53839,36.073753,0.20000004042,16.123091755844,9.230010811345002,False
IC_10,Model,0.53839,36.073753,0.22000015214000002,17.595189468268003,8.750013453927,False
IC_10,Model,0.53839,36.073753,0.23999972547,19.032295640282,9.169984086353,False
IC_10,Model,0.53839,36.073753,0.25999983719,20.433111616778003,9.040010354294001,False
IC_10,Model,0.53839,36.073753,0.27999994891,21.796699480178003,7.929984900731,False
IC_10,Model,0.53839,36.073753,0.30000006063,23.122409902928002,6.420009747657001,False
IC_10,Model,0.53839,36.073753,0.31999963396000003,24.409882147498003,5.9199914573240005,False
IC_10,Model,0.53839,36.073753,0.33999974568,25.659188361394,6.480000398896,False
IC_10,Model,0.53839,36.073753,0.35999985740000007,26.870184249604,6.130012847290001,False
IC_10,Model,0.53839,36.073753,0.37999996912,28.043410918423003,6.869993742579001,False
IC_10,Model,0.53839,36.073753,0.40000008084,29.179084810369,7.610010711621001,False
IC_10,Model,0.53839,36.073753,0.41999965417,30.278107769267002,8.140006290697,False
IC_10,Model,0.53839,36.073753,0.43999976589,31.340984827659003,8.309985814833,False
IC_10,Model,0.53839,36.073753,0.45999987761000005,32.368689976876006,8.159991149859,False
IC_10,Model,0.53839,36.073753,0.47999998933000004,33.36208898699,7.529999127467001,False
IC_10,Model,0.53839,36.073753,0.50000010105,34.322083701826,7.359983529578002,False
IC_10,Model,0.53839,36.073753,0.51999967438,35.249612038962,6.410017318076,False
IC_10,Model,0.53839,36.073753,0.5399997861000001,36.145900506000004,6.829987950502001,False
IC_1613,Data,2.0,20.51,0.14,2.9999977000000007,0.8400075600000001,False
IC_1613,Data,2.0,20.51,0.17,4.0099921400000005,2.66000343,False
IC_1613,Data,2.0,20.51,0.19,6.27000955,1.67000624,False
IC_1613,Data,2.0,20.51,0.21,5.340004110000001,1.37999484,False
IC_1613,Data,2.0,20.51,0.24,4.390001420000001,1.9200026300000002,False
IC_1613,Data,2.0,20.51,0.26,4.4799993,1.8699992500000002,False
IC_1613,Data,2.0,20.51,0.29,4.0200010200000005,2.0900100200000002,False
IC_1613,Data,2.0,20.51,0.31,3.70999237,1.7999986200000002,False
IC_1613,Data,2.0,20.51,0.33,3.93999151,1.95000876,False
IC_1613,Data,2.0,20.51,0.36,4.0300099000000005,2.3499947800000003,False
IC_1613,Data,2.0,20.51,0.38,3.68999512,2.80999306,False
IC_1613,Data,2.0,20.51,0.4,4.109998900000001,2.7199951800000006,False
IC_1613,Data,2.0,20.51,0.43,5.139990590000001,2.7100068100000003,False
IC_1613,Data,2.0,20.51,0.45,5.220000100000001,2.5000049200000003,False
IC_1613,Data,2.0,20.51,0.48,4.039998270000001,2.53999942,False
IC_1613,Data,2.0,20.51,0.5,4.49000818,2.34000641,False
IC_1613,Data,2.0,20.51,0.52,5.1800056,2.32000916,False
IC_1613,Data,2.0,20.51,0.55,6.789999580000001,2.34000641,False
IC_1613,Data,2.0,20.51,0.57,6.579997690000001,2.3600036600000003,False
IC_1613,Data,2.0,20.51,0.59,6.019992650000001,2.41000704,False
IC_1613,Data,2.0,20.51,0.62,6.249991790000001,2.0900100200000002,False
IC_1613,Data,2.0,20.51,0.64,6.089993280000001,1.90000538,False
IC_1613,Data,2.0,20.51,0.67,6.130008290000001,1.9999916300000002,False
IC_1613,Data,2.0,20.51,0.69,6.7000017000000005,2.16999902,False
IC_1613,Data,2.0,20.51,0.71,7.039995970000001,2.11000727,False
IC_1613,Data,2.0,20.51,0.74,6.2799979200000005,2.22999077,False
IC_1613,Data,2.0,20.51,0.76,7.1499911,2.0699922600000003,False
IC_1613,Data,2.0,20.51,0.78,7.510003130000001,2.04999501,False
IC_1613,Data,2.0,20.51,0.81,7.610009890000001,2.1800079,False
IC_1613,Data,2.0,20.51,0.83,7.24000949,2.2099935200000003,False
IC_1613,Data,2.0,20.51,0.86,6.949998090000001,2.04999501,False
IC_1613,Data,2.0,20.51,0.88,7.8899919,2.04999501,False
IC_1613,Data,2.0,20.51,0.9,9.010001980000002,2.06000389,False
IC_1613,Data,2.0,20.51,0.93,10.369999570000001,2.1500017700000003,False
IC_1613,Data,2.0,20.51,0.95,10.8100006,2.25000853,False
IC_1613,Data,2.0,20.51,0.97,11.44000627,2.09999839,False
IC_1613,Data,2.0,20.51,1.0,11.23999275,1.9399998800000002,False
IC_1613,Data,2.0,20.51,1.02,11.359996760000001,1.6500089900000003,False
IC_1613,Data,2.0,20.51,1.05,11.05000862,1.6299912300000001,False
IC_1613,Data,2.0,20.51,1.07,10.549995330000002,1.65999736,False
IC_1613,Data,2.0,20.51,1.09,10.31000782,1.7800013700000001,False
IC_1613,Data,2.0,20.51,1.12,10.179994930000001,1.81999587,False
IC_1613,Data,2.0,20.51,1.14,10.52000971,1.9200026300000002,False
IC_1613,Data,2.0,20.51,1.16,11.359996760000001,1.9900032600000002,False
IC_1613,Data,2.0,20.51,1.19,11.390002890000002,1.95000876,False
IC_1613,Data,2.0,20.51,1.21,11.280007760000002,2.0699922600000003,False
IC_1613,Data,2.0,20.51,1.24,10.720002720000002,1.9399998800000002,False
IC_1613,Data,2.0,20.51,1.26,11.129997620000001,1.9900032600000002,False
IC_1613,Data,2.0,20.51,1.28,10.91999573,2.11000727,False
IC_1613,Data,2.0,20.51,1.31,11.189989370000001,2.13000452,False
IC_1613,Data,2.0,20.51,1.33,11.5100069,2.06000389,False
IC_1613,Data,2.0,20.51,1.35,11.44000627,2.0900100200000002,False
IC_1613,Data,2.0,20.51,1.38,11.990002430000002,2.1399928900000003,False
IC_1613,Data,2.0,20.51,1.4,11.76000329,1.9999916300000002,False
IC_1613,Data,2.0,20.51,1.43,12.130003690000002,2.02000939,False
IC_1613,Data,2.0,20.51,1.45,12.520001340000002,1.9900032600000002,False
IC_1613,Data,2.0,20.51,1.47,13.050000250000002,1.95000876,False
IC_1613,Data,2.0,20.51,1.5,13.500010160000002,1.90000538,False
IC_1613,Data,2.0,20.51,1.52,14.109998070000001,1.8699992500000002,False
IC_1613,Data,2.0,20.51,1.54,14.709997610000002,1.9200026300000002,False
IC_1613,Data,2.0,20.51,1.57,14.849998870000002,2.0800011400000002,False
IC_1613,Data,2.0,20.51,1.59,15.140010270000001,2.04000664,False
IC_1613,Data,2.0,20.51,1.62,15.570002420000002,1.90000538,False
IC_1613,Data,2.0,20.51,1.64,16.089992450000004,1.8899965,False
IC_1613,Data,2.0,20.51,1.66,16.509996230000002,1.9399998800000002,False
IC_1613,Data,2.0,20.51,1.69,16.969994510000003,1.9200026300000002,False
IC_1613,Data,2.0,20.51,1.71,17.450010550000002,1.9999916300000002,False
IC_1613,Data,2.0,20.51,1.73,17.74998981,2.0800011400000002,False
IC_1613,Data,2.0,20.51,1.76,18.00000671,2.23999965,False
IC_1613,Data,2.0,20.51,1.78,18.76000476,2.1500017700000003,False
IC_1613,Data,2.0,20.51,1.81,19.22000304,2.1500017700000003,False
IC_1613,Data,2.0,20.51,1.83,18.869999890000003,2.1500017700000003,False
IC_1613,Data,2.0,20.51,1.85,19.31000092,2.0900100200000002,False
IC_1613,Data,2.0,20.51,1.88,19.380001550000003,2.13000452,False
IC_1613,Data,2.0,20.51,1.9,19.15999078,2.11999564,False
IC_1613,Data,2.0,20.51,1.92,19.48999668,2.06000389,False
IC_1613,Data,2.0,20.51,1.95,19.34000705,2.1500017700000003,False
IC_1613,Data,2.0,20.51,1.97,20.100005100000004,2.16999902,False
IC_1613,Data,2.0,20.51,2.0,20.51,2.22999077,False
IC_1613,Data,2.0,20.51,2.02,20.42999049,2.04999501,False
IC_1613,Data,2.0,20.51,2.04,20.179994100000002,2.18999627,False
IC_1613,Data,2.0,20.51,2.07,20.580000630000004,2.2999914,False
IC_1613,Data,2.0,20.51,2.09,20.80999977,2.2999914,False
IC_1613,Data,2.0,20.51,2.11,20.630004010000004,2.39000979,False
IC_1613,Data,2.0,20.51,2.14,20.630004010000004,2.32000916,False
IC_1613,Data,2.0,20.51,2.16,21.00999278,2.2799941500000003,False
IC_1613,Data,2.0,20.51,2.19,21.000004410000003,2.38000091,False
IC_1613,Data,2.0,20.51,2.21,20.739999140000002,2.27000578,False
IC_1613,Data,2.0,20.51,2.23,20.569991750000003,2.31000028,False
IC_1613,Data,2.0,20.51,2.26,21.129996790000003,2.4899960400000003,False
IC_1613,Data,2.0,20.51,2.28,20.70999301,2.39999816,False
IC_1613,Data,2.0,20.51,2.3,20.77999364,2.38000091,False
IC_1613,Data,2.0,20.51,2.33,20.599997880000004,2.25000853,False
IC_1613,Data,2.0,20.51,2.35,19.730004700000002,2.3600036600000003,False
IC_1613,Data,2.0,20.51,2.38,19.78000808,2.5599966700000003,False
IC_1613,Data,2.0,20.51,2.4,19.730004700000002,2.4300042900000003,False
IC_1613,Data,2.0,20.51,2.42,19.349995420000003,2.50999329,False
IC_1613,Data,2.0,20.51,2.45,19.41999605,2.2200024000000003,False
IC_1613,Data,2.0,20.51,2.47,19.430004930000003,2.32999753,False
IC_1613,Data,2.0,20.51,2.49,19.48999668,2.18999627,False
IC_1613,Data,2.0,20.51,2.52,18.99999227,2.2900030300000003,False
IC_1613,Data,2.0,20.51,2.54,18.340000980000003,2.2999914,False
IC_1613,Data,2.0,20.51,2.57,18.020003960000004,2.43999266,False
IC_1613,Data,2.0,20.51,2.59,18.53000562,2.2200024000000003,False
IC_1613,Data,2.0,20.51,2.61,17.930006080000002,2.25000853,False
IC_1613,Data,2.0,20.51,2.64,18.270000350000004,2.2599969,False
IC_1613,Data,2.0,20.51,2.66,16.310003220000002,2.23999965,False
IC_1613,Data,2.0,20.51,2.68,16.759992620000002,2.0800011400000002,False
IC_1613,Data,2.0,20.51,2.71,16.94999726,2.02999776,False
IC_1613,Model,2.71,21.1257,0.14000131,1.5805614968999997,0.8400000833999999,False
IC_1613,Model,2.71,21.1257,0.17000100999999998,1.9177276688999998,2.6600002641,False
IC_1613,Model,2.71,21.1257,0.19000081000000002,2.1420403515,1.6700077106999998,False
IC_1613,Model,2.71,21.1257,0.21000061,2.3659093943999996,1.3799941011,False
IC_1613,Model,2.71,21.1257,0.24000031,2.7007728651000003,1.9200092444999997,False
IC_1613,Model,2.71,21.1257,0.26000011,2.923374366,1.8700047126,False
IC_1613,Model,2.71,21.1257,0.28999980999999997,3.2561463923999994,2.0900077524,False
IC_1613,Model,2.71,21.1257,0.30999961000000004,3.4772057171999995,1.7999941428,False
IC_1613,Model,2.71,21.1257,0.32999941,3.6975678938999996,1.9500077384999999,False
IC_1613,Model,2.71,21.1257,0.35999910999999996,4.0267274256,2.3500017423,False
IC_1613,Model,2.71,21.1257,0.37999891,4.245209415,2.8099927340999997,False
IC_1613,Model,2.71,21.1257,0.39999871000000004,4.4628675021,2.7199972520999998,False
IC_1613,Model,2.71,21.1257,0.43000112,4.787738516699999,2.7100047959999998,False
IC_1613,Model,2.71,21.1257,0.45000092,5.0031784053,2.4999942123,False
IC_1613,Model,2.71,21.1257,0.48000062,5.3245636794,2.5400062881,False
IC_1613,Model,2.71,21.1257,0.50000042,5.5375952382,2.3400092862,False
IC_1613,Model,2.71,21.1257,0.52000022,5.749591637699999,2.3200032483,False
IC_1613,Model,2.71,21.1257,0.54999992,6.065610983999999,2.3400092862,False
IC_1613,Model,2.71,21.1257,0.56999972,6.2749244196,2.3599941984,False
IC_1613,Model,2.71,21.1257,0.58999952,6.4831181931,2.4099987303,False
IC_1613,Model,2.71,21.1257,0.6199992200000001,6.793243469099999,2.0900077524,False
IC_1613,Model,2.71,21.1257,0.63999902,6.998500770299999,1.9000032065999999,False
IC_1613,Model,2.71,21.1257,0.66999872,7.3041262721999995,1.9999911447,False
IC_1613,Model,2.71,21.1257,0.6900012299999999,7.506320346899999,2.1699896526,False
IC_1613,Model,2.71,21.1257,0.7100010299999999,7.7072680053,2.1099926645999996,False
IC_1613,Model,2.71,21.1257,0.74000073,8.006238911699999,2.2300077663,False
