geometry_variant,geometry_variant_class,stellar_psf_scenario,h2_conversion_factor,radial_index,radius_lo_arcsec,radius_hi_arcsec,n_pixels_total,delta_uv,q_shape_proxy
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,3,35,45,80,0.983157426005,0.0199200368642
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,4,45,55,105,0.99842186227,-0.0541676470786
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,5,55,65,122,0.976171218892,-0.0709055903108
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,0,5,15,18,0.755591245162,-0.0636523761092
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,1,15,25,43,0.731541953364,-0.0507028927059
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,2,25,35,60,0.899554138718,0.036898026892
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,3,35,45,80,0.98314864462,0.0212176657242
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,4,45,55,105,0.998372651496,-0.0482537585577
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,0.7,5,55,65,122,0.976023597095,-0.0517781960029
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1,0,5,15,18,0.755591245162,-0.0630987405059
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1,1,15,25,43,0.731541953364,-0.0501937289686
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1,2,25,35,60,0.899554138718,0.0347748087983
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1,3,35,45,80,0.98314864462,0.0204392825609
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1,4,45,55,105,0.998372651496,-0.052597054994
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1,5,55,65,122,0.976023597095,-0.0646497213813
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,0,5,15,18,0.755591245162,-0.0627868963771
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,1,15,25,43,0.731541953364,-0.0492558097702
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,2,25,35,60,0.899554138718,0.0331235056954
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,3,35,45,80,0.98314864462,0.01999073296
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,4,45,55,105,0.998372651496,-0.0549424487941
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_4arcsec_control,1.3,5,55,65,122,0.976023597095,-0.0700042894525
s4g_global_ellipticity_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,0,5,15,17,0.776228228297,-0.0609054341659
s4g_global_ellipticity_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,1,15,25,41,0.6579224768,-0.034540972034
s4g_global_ellipticity_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,2,25,35,59,0.722680156389,0.038114130204
s4g_global_ellipticity_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,3,35,45,80,0.915011673681,0.0245190684666
s4g_global_ellipticity_plus_1sigma,photometric_control,psf_0arcsec_primary,0.7,4,45,55,99,0.963270703846,-0.0644214483891
