galaxy,normalized_sparc_name,match_status,ungc_name,theta1,ungc_distance_mpc,main_disturber,sparc_distance_mpc,source_catalog,source_paper,source_url,residual_blind,velocity_endpoint_used,claim_boundary
F574-2,F5742,NO_MATCH,,,,,89.1,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
F579-V1,F579V1,NO_MATCH,,,,,89.5,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
F583-1,F5831,NO_MATCH,,,,,35.4,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
F583-4,F5834,NO_MATCH,,,,,53.3,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
IC2574,IC2574,UNIQUE_NAME_MATCH,IC2574,1.0,4.019999980926514,,3.91,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
IC4202,IC4202,NO_MATCH,,,,,100.4,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
KK98-251,KK98251,NO_MATCH,,,,,6.8,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC0024,NGC24,UNIQUE_NAME_MATCH,NGC0024,-1.0,9.899999618530273,,7.3,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC0055,NGC55,UNIQUE_NAME_MATCH,NGC0055,0.10000000149011612,2.130000114440918,,2.11,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC0100,NGC100,NO_MATCH,,,,,13.5,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
