channel,s4g_name,normalized_name,asymmetry,asymmetry_error
3.6um,IC5269A,IC5269A,0.47,0.01
3.6um,IC5269B,IC5269B,0.27,0.01
3.6um,IC5269C,IC5269C,0.39,0.01
3.6um,IC5270,IC5270,0.22,0.08
3.6um,IC5271,IC5271,0.21,0.13
3.6um,IC5273,IC5273,0.33,0.03
3.6um,IC0529,IC529,0.27,0.12
3.6um,IC5321,IC5321,0.25,0.02
3.6um,IC5325,IC5325,0.23,0.03
3.6um,IC5332,IC5332,0.38,0.01
3.6um,IC5333,IC5333,0.43,0.09
3.6um,IC5334,IC5334,0.15,0.04
3.6um,IC0600,IC600,0.23,0.02
3.6um,IC0610,IC610,0.17,0.04
3.6um,IC0718,IC718,0.13,0.02
3.6um,IC0719,IC719,0.09,0.09
3.6um,IC0749,IC749,0.3,0.02
3.6um,IC0750,IC750,0.2,0.1
3.6um,IC0755,IC755,0.13,0.05
3.6um,IC0758,IC758,0.48,0.02
3.6um,IC0764,IC764,0.82,0.0
3.6um,IC0769,IC769,0.18,0.01
3.6um,IC0776,IC776,0.18,0.01
3.6um,IC0796,IC796,0.15,0.05
3.6um,IC0797,IC797,0.11,0.05
3.6um,IC0800,IC800,0.12,0.03
3.6um,IC0851,IC851,0.16,0.04
3.6um,IC0863,IC863,0.12,0.05
3.6um,IC0902,IC902,0.4,0.16
3.6um,NGC0337A,NGC0337A,0.33,0.01
3.6um,NGC0986A,NGC0986A,0.39,0.04
3.6um,NGC0100,NGC100,0.3,0.01
3.6um,NGC1015,NGC1015,0.13,0.04
3.6um,NGC1022,NGC1022,0.47,0.02
3.6um,NGC1032,NGC1032,0.53,0.01
3.6um,NGC1035,NGC1035,0.15,0.06
3.6um,NGC1036,NGC1036,0.12,0.06
3.6um,NGC1042,NGC1042,0.44,0.01
3.6um,NGC1047,NGC1047,0.14,0.04
3.6um,NGC1051,NGC1051,0.17,0.01
3.6um,NGC1052,NGC1052,0.19,0.06
3.6um,NGC1055,NGC1055,0.89,0.01
3.6um,NGC1068,NGC1068,0.82,0.02
3.6um,NGC1073,NGC1073,0.29,0.01
3.6um,NGC1076,NGC1076,0.17,0.04
3.6um,NGC1079,NGC1079,0.65,0.03
3.6um,NGC1084,NGC1084,0.72,0.01
3.6um,NGC1087,NGC1087,0.65,0.01
3.6um,NGC1090,NGC1090,0.54,0.01
3.6um,NGC1097,NGC1097,0.75,0.01
3.6um,NGC1110,NGC1110,0.3,0.05
3.6um,NGC1140,NGC1140,0.19,0.02
3.6um,NGC1145,NGC1145,0.68,0.01
3.6um,NGC0115,NGC115,0.37,0.03
3.6um,NGC1163,NGC1163,0.2,0.05
3.6um,NGC1179,NGC1179,0.16,0.01
3.6um,NGC1187,NGC1187,0.27,0.02
3.6um,NGC1222,NGC1222,0.13,0.09
3.6um,NGC1232,NGC1232,0.42,0.0
3.6um,NGC1249,NGC1249,0.88,0.01
3.6um,NGC1253,NGC1253,0.44,0.0
3.6um,NGC1255,NGC1255,0.52,0.02
3.6um,NGC1258,NGC1258,0.31,0.03
3.6um,NGC1291,NGC1291,0.83,0.0
3.6um,NGC1292,NGC1292,0.89,0.0
3.6um,NGC1297,NGC1297,0.3,0.02
3.6um,NGC1299,NGC1299,0.13,0.06
3.6um,NGC1300,NGC1300,0.43,0.01
3.6um,NGC1302,NGC1302,0.26,0.03
3.6um,NGC1306,NGC1306,0.26,0.14
3.6um,NGC1309,NGC1309,0.7,0.02
3.6um,NGC0131,NGC131,0.4,0.06
3.6um,NGC1310,NGC1310,0.22,0.03
3.6um,NGC1311,NGC1311,1.0,4.65
3.6um,NGC1313,NGC1313,0.66,0.01
3.6um,NGC1316C,NGC1316C,0.3,0.06
3.6um,NGC1325,NGC1325,0.42,0.01
3.6um,NGC1325A,NGC1325A,0.19,0.02
3.6um,NGC1326,NGC1326,0.26,0.04
3.6um,NGC1326A,NGC1326A,0.58,0.04
